binomial,count
Calypso borealis,1
Calypso bulbosa,68
Calypso occidentalis,4
Cephalanthera austiniae,19
Chloraea austinae,1
Coeloglossum viride,2
Corallorhiza maculata,129
Corallorhiza mertensiana,73
Corallorhiza striata,29
Corallorhiza trifida,6
Cypripedium montanum,7
Epipactis gigantea,18
Epipactis helleborine,27
Goodyera oblongifolia,78
Liparis loeselii,1
Listera banksiana,54
Listera convallarioides,27
Listera cordata,94
Piperia elegans,1
Piperia maritima,1
Platanthera aquilonis,1
Platanthera dilatata,117
Platanthera elegans,43
Platanthera elongata,6
Platanthera ephemerantha,2
Platanthera huronensis,7
Platanthera hyperborea,5
Platanthera orbiculata,9
Platanthera purpurascens,1
Platanthera stricta,125
Platanthera transversa,12
Platanthera unalascensis,25
Polystachya concreta,1
Spiranthes diluvialis,1
Spiranthes porrifolia,9
Spiranthes romanzoffiana,92
