binomial,count
Aphyllon californicum,34
Aphyllon fasciculatum,12
Aphyllon ludovicianum,1
Aphyllon minutum,1
Aphyllon pinorum,7
Aphyllon purpureum,42
Aphyllon uniflorum,26
Bellardia viscosa,46
Castilleja ambigua,20
Castilleja attenuata,45
Castilleja cervina,1
Castilleja chrysantha,1
Castilleja cryptantha,8
Castilleja elmeri,11
Castilleja exserta,3
Castilleja fraterna,1
Castilleja hispida,211
Castilleja levisecta,38
Castilleja litoralis,6
Castilleja miniata,231
Castilleja minor,1
Castilleja oreopola,2
Castilleja pallescens,1
Castilleja parviflora,153
Castilleja rhexiifolia,2
Castilleja rubida,11
Castilleja rupicola,16
Castilleja suksdorfii,19
Castilleja tenuis,25
Castilleja thompsonii,28
Castilleja victoriae,1
Cordylanthus capitatus,5
Euphrasia nemorosa,33
Euphrasia officinalis,6
Euphrasia stricta,1
Kopsiopsis hookeri,15
Melampyrum lineare,2
Odontites vulgaris,1
Orobanche minor,4
Orobanche uniflora,1
Orthocarpus barbatus,1
Orthocarpus bracteosus,11
Orthocarpus castilloides,2
Orthocarpus imbricatus,47
Orthocarpus olympicus,2
Orthocarpus tenuifolius,2
Pedicularis bracteosa,112
Pedicularis contorta,58
Pedicularis groenlandica,89
Pedicularis ornithorhyncha,46
Pedicularis palustris,1
Pedicularis racemosa,95
Pedicularis rainierensis,26
Pedicularis surrecta,2
Rhinanthus minor,15
Triphysaria eriantha,2
Triphysaria pusilla,96
Tryphysaria pusilla,2
