binomial,count
Adlumia cirrhosa,1
Adlumia fungosa,2
Chelidonium majus,5
Corydalis aquae-gelidae,4
Corydalis aurea,3
Corydalis lutea,6
Corydalis scouleri,85
Corydalis sempervirens,4
Dicentra cucullaria,10
Dicentra formosa,163
Dicentra uniflora,8
Eschscholzia californica,56
Eschscholzia columbiana,3
Fumaria bastardii,1
Fumaria muralis,10
Fumaria officinalis,2
Fumaria reuteri,10
Glaucium corniculatum,1
Meconella oregana,18
Meconopsis cambrica,2
Meconopsis villosa,1
Papaver argemone,4
Papaver atlanticum,1
Papaver bracteatum,1
Papaver dubium,5
Papaver macounii,1
Papaver rhoeas,5
Papaver somniferum,16
Romneya coulteri,1
