binomial,count
Abies amabilis,50
Abies balsamea,1
Abies concolor,3
Abies fraseri,1
Abies grandis,88
Abies lasiocarpa,55
Abies pinsapo,1
Abies procera,22
Cedrus deodara,3
Cedrus libani,2
Larix occidentalis,17
Picea abies,3
Picea engelmannii,22
Picea pungens,1
Picea sitchensis,63
Pinus albicaulis,24
Pinus armandii,1
Pinus contorta,111
Pinus densiflora,2
Pinus koraiensis,1
Pinus monticola,61
Pinus pinaster,1
Pinus ponderosa,22
Pinus sylvestris,1
Pinus wallichiana,1
Pseudotsuga menziesii,147
Tsuga heterophylla,98
Tsuga jeffreyi,1
Tsuga mertensiana,31
