binomial,count
Antirrhinum majus,4
Callitriche fassettii,1
Callitriche hermaphroditica,6
Callitriche heterophylla,54
Callitriche palustris,47
Callitriche stagnalis,47
Chaenorhinum minus,6
Chelone nemorosa,5
Collinsia bicolor,1
Collinsia childii,6
Collinsia grandiflora,71
Collinsia parviflora,230
Collinsia pusilla,2
Collinsia rattanii,15
Collinsia sparsiflora,15
Cymbalaria muralis,8
Digitalis lutea,1
Digitalis purpurea,63
Gratiola ebracteata,23
Gratiola neglecta,19
Hippuris montana,17
Hippuris vulgaris,43
Kickxia elatine,7
Linaria bipartita,1
Linaria dalmatica,14
Linaria grandiflora,3
Linaria maroccana,2
Linaria purpurea,9
Linaria triornithorphora,1
Linaria vulgaris,45
Maurandella antirrhiniflora,1
Misopates orontium,3
Nothochelone nemorosa,107
Nuttallanthus canadensis,6
Nuttallanthus texanus,8
Parahebe lyallii,1
Penstemon acuminatus,2
Penstemon attenuatus,20
Penstemon barrettiae,22
Penstemon cardwellii,18
Penstemon confertus,60
Penstemon davidsonii,93
Penstemon deustus,15
Penstemon diffusus,3
Penstemon ellipticus,1
Penstemon euglaucus,21
Penstemon fruticosus,66
Penstemon gairdneri,12
Penstemon glandulosus,10
Penstemon hartwegii,1
Penstemon humilis,15
Penstemon menziesii,2
Penstemon ovatus,39
Penstemon paniculatus,1
Penstemon payettensis,1
Penstemon procerus,86
Penstemon pruinosus,3
Penstemon richardsonii,31
Penstemon rupicola,30
Penstemon rydbergii,10
Penstemon serrulatus,121
Penstemon speciosus,3
Penstemon subserratus,37
Penstemon thompsoniae,1
Penstemon triphyllus,4
Penstemon venustus,4
Penstemon wilcoxii,1
Plantago arenaria,15
Plantago aristata,2
Plantago australis,2
Plantago bigelovii,7
Plantago coronopus,11
Plantago elongata,23
Plantago eriopoda,1
Plantago juncoides,1
Plantago lanceolata,126
Plantago macrocarpa,15
Plantago major,62
Plantago maritima,135
Plantago media,1
Plantago patagonica,8
Plantago pusilla,8
Plantago subnuda,1
Synthyris dissecta,11
Synthyris lanuginosa,13
Synthyris missurica,11
Synthyris pinnatifida,1
Synthyris reniformis,39
Synthyris rubra,3
Synthyris schizantha,22
Tonella collinsioides,4
Tonella floribunda,5
Tonella tenella,6
Veronica allenii,1
Veronica alpina,3
Veronica americana,136
Veronica anagallis-aquatica,10
Veronica arguteserrata,1
Veronica arvensis,111
Veronica austriaca,2
Veronica beccabunga,25
Veronica cascadensis,1
Veronica catenata,5
Veronica chamaedrys,22
Veronica cusickii,91
Veronica filiformis,12
Veronica hederifolia,12
Veronica longifolia,3
Veronica officinalis,55
Veronica peregrina,35
Veronica persica,12
Veronica salicifolia,1
Veronica scutellata,86
Veronica serpyllifolia,91
Veronica undulata,2
Veronica wormskjoldii,65
