binomial,count
Achnatherum hendersonii,2
Achnatherum hymenoides,6
Achnatherum lemmonii,67
Achnatherum lettermanii,5
Achnatherum nelsonii,16
Achnatherum occidentale,38
Achnatherum thurberianum,5
Aegilops bicornis,1
Aegilops cylindrica,5
Agropyron caninum,4
Agropyron cristatum,3
Agropyron glaucum,1
Agropyron lutosus,2
Agrostis alba,34
Agrostis canina,2
Agrostis capillaris,58
Agrostis castellana,3
Agrostis densiflora,1
Agrostis exarata,307
Agrostis gigantea,38
Agrostis howellii,5
Agrostis hyemalis,1
Agrostis idahoensis,24
Agrostis mertensii,2
Agrostis microphylla,9
Agrostis murbeckii,1
Agrostis oregonensis,45
Agrostis pallens,64
Agrostis perennans,2
Agrostis rossiae,1
Agrostis scabra,151
Agrostis stolonifera,158
Agrostis variabilis,59
Aira caryophyllea,154
Aira praecox,131
Alopecurus aequalis,60
