binomial,count
Aliciella leptomeria,1
Collomia debilis,9
Collomia grandiflora,46
Collomia heterophylla,84
Collomia larsenii,24
Collomia linearis,42
Collomia tenella,2
Collomia tinctoria,7
Gilia achilleifolia,5
Gilia bicolor,10
Gilia capitata,61
Gilia grandiflora,2
Gilia heterophylla,1
Gilia humilis,3
Gilia klickitatensis,1
Gilia sinuata,14
Gilia tenella,1
Ipomopsis aggregata,21
Langloisia setosissima,1
Leptosiphon bicolor,22
Leptosiphon bolanderi,5
Leptosiphon harknessii,8
Leptosiphon liniflorus,1
Leptosiphon minimus,10
Leptosiphon nuttallii,14
Leptosiphon septentrionalis,1
Linanthus pungens,1
Microgilia minutiflora,15
Microsteris gracilis,174
Navarretia breweri,3
Navarretia capillaris,1
Navarretia divaricata,8
Navarretia intertexta,23
Navarretia leucocephala,1
Navarretia propinqua,4
Navarretia sinistra,1
Navarretia squarrosa,46
Navarretia tagetina,8
Phlox austromontana,1
Phlox caespitosa,11
Phlox condensata,1
Phlox diffusa,127
Phlox gracilis,16
Phlox hendersonii,8
Phlox hoodii,13
Phlox longifolia,16
Phlox speciosa,57
Phlox viscida,1
Polemonium californicum,55
Polemonium carneum,21
Polemonium elegans,31
Polemonium micranthum,15
Polemonium occidentale,14
Polemonium paddoense,1
Polemonium pectinatum,1
Polemonium pulchellum,1
Polemonium pulcherrimum,88
Polemonium rotatum,1
Polemonium rotortum,1
