binomial,count
Aconogon davisiae,3
Aconogonon davisiae,45
Aconogonon phytolaccifolium,14
Bistorta bistortoides,80
Bistorta vivipara,1
Eriogonum brachyanthum,1
Eriogonum compositum,72
Eriogonum douglasii,15
Eriogonum elatum,16
Eriogonum heracleoides,15
Eriogonum microthecum,1
Eriogonum niveum,6
Eriogonum nudum,6
Eriogonum ovalifolium,37
Eriogonum pyrolifolium,62
Eriogonum sphaerocephalum,15
Eriogonum strictum,11
Eriogonum thymoides,11
Eriogonum umbellatum,49
Eriogonum vimineum,5
Fagopyrum esculentum,8
Fallopia baldschuanica,4
Fallopia bohemica,62
Fallopia convolvulus,36
Fallopia japonica,32
Fallopia sachalinensis,27
Oxyria digyna,50
Persicaria amphibia,85
Persicaria hydropiper,34
Persicaria hydropiperoides,43
Persicaria lapathifolia,39
Persicaria longiseta,2
Persicaria maculosa,78
Persicaria minor,6
Persicaria nepalensis,9
Persicaria pensylvanica,4
Persicaria perfoliata,1
Persicaria punctata,19
Persicaria wallichii,18
Polygonum Polygonum,1
Polygonum achoreum,2
Polygonum arenicola,3
Polygonum aviculare,97
Polygonum californicum,8
Polygonum cuspidatum,1
Polygonum douglasii,67
Polygonum erectum,5
Polygonum fowleri,20
Polygonum hydropiperoides,1
Polygonum kelloggii,2
Polygonum majus,6
Polygonum minimum,42
Polygonum nuttallii,25
Polygonum paronychia,48
Polygonum parryi,1
Polygonum polygaloides,39
Polygonum ramosissimum,5
Polygonum sawatchense,11
Polygonum spergulariiforme,80
Rumex acetosa,1
Rumex acetosella,165
Rumex britannica,1
Rumex conglomeratus,20
Rumex crispus,51
Rumex fueginus,1
Rumex hesperis,1
Rumex maritimus,22
Rumex obtusifolius,35
Rumex occidentalis,30
Rumex persicarioides,3
Rumex pratensis,9
Rumex salicifolius,50
Rumex sanguineus,4
Rumex thyrsiflorus,1
Rumex venosus,7
