binomial,count
Androsace filiformis,1
Cyclamen hederifolium,2
Dodecatheon alpinum,3
Dodecatheon austrofrigidum,1
Dodecatheon conjugens,32
Dodecatheon dentatum,3
Dodecatheon hendersonii,58
Dodecatheon jeffreyi,75
Dodecatheon latifolium,1
Dodecatheon poeticum,34
Dodecatheon pulchellum,73
Douglasia laevigata,63
Douglasia nivalis,7
Lysimachia arvensis,8
Lysimachia ciliata,11
Lysimachia europaea,60
Lysimachia latifolia,151
Lysimachia maritima,41
Lysimachia minima,16
Lysimachia nummularia,14
Lysimachia punctata,8
Lysimachia terrestris,20
Lysimachia thyrsiflora,36
Lysimachia vulgaris,8
Samolus parviflorus,3
Steironema ciliatum,1
