binomial,count
Aconitum columbianum,30
Actaea elata,20
Actaea laciniata,2
Actaea rubra,66
Adonis aestivalis,1
Anemone blanda,1
Anemone deltoidea,50
Anemone drummondii,31
Anemone lyallii,44
Anemone multifida,36
Anemone occidentalis,68
Anemone oregana,86
Anemone piperi,4
Aquilegia flavescens,1
Aquilegia formosa,129
Aquilegia olympica,1
Aquilegia vulgaris,6
Arcteranthis cooleyae,4
Caltha leptosepala,117
Caltha palustris,23
Ceratocephala testiculata,2
Clematis hirsutissima,1
Clematis ligusticifolia,27
Clematis occidentalis,4
Clematis orientalis,1
Clematis virginiana,1
Clematis vitalba,19
Clematis viticella,1
Coptis aspleniifolia,18
Coptis laciniata,18
Coptis trifolia,3
Delphinium ajacis,7
Delphinium bicolor,3
Delphinium burkei,8
Delphinium distichum,24
Delphinium glareosum,54
Delphinium glaucum,42
Delphinium leucophaeum,1
Delphinium lineapetalum,3
Delphinium menziesii,68
Delphinium multiplex,20
Delphinium nuttallianum,96
Delphinium nuttallii,37
Delphinium orientale,1
Delphinium scopulorum,1
Delphinium stachydeum,2
Delphinium trolliifolium,22
Delphinium viridescens,1
Enemion hallii,7
Ficaria verna,17
Halerpestes cymbalaria,32
Helleborus foetidus,3
Helleborus niger,2
Hydrastis canadensis,3
Myosurus apetalus,5
Myosurus minimus,43
Nigella damascena,4
Ranunculus acris,38
Ranunculus alismifolius,35
Ranunculus aquatilis,74
Ranunculus arvensis,1
Ranunculus bongardi,3
Ranunculus bulbosus,5
Ranunculus californicus,28
Ranunculus eschscholtzii,53
Ranunculus ficaria,2
Ranunculus flabellaris,3
Ranunculus flammula,107
Ranunculus gelidus,3
Ranunculus glaberrimus,14
Ranunculus gmelinii,2
Ranunculus grayi,7
Ranunculus hebecarpus,5
Ranunculus lobbii,1
Ranunculus macounii,22
Ranunculus muricatus,7
Ranunculus nelsonii,1
Ranunculus nivalis,1
Ranunculus occidentalis,152
Ranunculus orbiculatus,1
Ranunculus orthorhynchus,46
Ranunculus palustris,1
Ranunculus parviflorus,6
Ranunculus pensylvanicus,12
Ranunculus populago,1
Ranunculus repens,99
Ranunculus sardous,5
Ranunculus sceleratus,40
Ranunculus suksdorfii,1
Ranunculus tenuipes,2
Ranunculus triternatus,2
Ranunculus uncinatus,137
Thalictrum occidentale,48
Thalictrum polycarpum,1
Thalictrum rainierense,1
Trautvetteria caroliniensis,93
Trollius albiflorus,20
