binomial,count
Populus alba,15
Populus balsamifera,1
Populus canescens,4
Populus grandidentata,1
Populus hastata,3
Populus nigra,7
Populus tremuloides,62
Populus trichocarpa,63
Salix alba,5
Salix amygdaloides,43
Salix arctica,9
Salix barclayi,84
Salix bebbiana,10
Salix boothii,1
Salix brachycarpa,2
Salix cascadensis,7
Salix cinerea,2
Salix columbiana,1
Salix commutata,17
Salix drummondiana,1
Salix eriocephala,20
Salix exigua,115
Salix fluviatilis,2
Salix fragilis,7
Salix geyeriana,30
Salix glauca,4
Salix hookeriana,148
Salix interior,1
Salix lasiandra,213
Salix lasiolepis,106
Salix lucida,1
Salix matsudana,1
Salix melanopsis,17
Salix nigra,1
Salix nivalis,21
Salix nuttallii,1
Salix pedicellaris,19
Salix pendulina,3
Salix pentandra,2
Salix phylicifolia,6
Salix planifolia,9
Salix prolixa,115
Salix pseudomonticola,1
Salix purpurea,3
Salix rubens,2
Salix scouleriana,658
Salix sepulcralis,3
Salix sessilifolia,42
Salix sitchensis,261
Salix smithiana,1
Salix tweedyi,1
Salix viminalis,6
Salix wolfii,4
