binomial,count
Astilbe chinensis,1
Bolandra oregana,12
Boykinia intermedia,27
Boykinia major,1
Boykinia occidentalis,62
Cascadia nuttallii,7
Chrysosplenium glechomifolium,19
Chrysosplenium tetrandrum,1
Elmera racemosa,62
Hemieva ranunculifolia,9
Heuchera chlorantha,16
Heuchera cylindrica,28
Heuchera glabra,51
Heuchera grossulariifolia,9
Heuchera micrantha,172
Leptarrhena pyrolifolia,58
Leptaxis menziesii,1
Lithophragma glabrum,54
Lithophragma parviflorum,132
Lithophragma tenella,3
Lithophragma tenellum,5
Micranthes aequidentata,1
Micranthes apetala,12
Micranthes ferruginea,147
Micranthes fragosa,41
Micranthes gormanii,2
Micranthes idahoensis,5
Micranthes integrifolia,160
Micranthes marshallii,2
Micranthes mixed,2
Micranthes nelsoniana,78
Micranthes nidifica,13
Micranthes occidentalis,13
Micranthes odontoloma,53
Micranthes oregana,25
Micranthes rhomboidea,1
Micranthes rufidula,54
Micranthes tischii,7
Micranthes tolmiei,81
Mitella diphylla,1
Mitella nuda,2
Mitellastra caulescens,33
Muscaria emarginata,2
Ozomelis diversifolia,5
Ozomelis pacifica,1
Ozomelis stauropetala,2
Ozomelis trifida,33
Pectiantia breweri,68
Pectiantia ovalis,37
Pectiantia pentandra,63
Saxifraga adscendens,1
Saxifraga aequidentata,1
Saxifraga aizoides,2
Saxifraga austromontana,69
Saxifraga bongardi,1
Saxifraga bracteosa,1
Saxifraga bronchialis,17
Saxifraga cespitosa,104
Saxifraga debilis,1
Saxifraga hyperborea,2
Saxifraga integrifolia,2
Saxifraga marshallii,1
Saxifraga mertensiana,57
Saxifraga nidifica,2
Saxifraga notkana,1
Saxifraga odontophylla,1
Saxifraga oppositifolia,10
Saxifraga paddoensis,1
Saxifraga tridactylites,1
Saxifraga vespertina,9
Suksdorfia violacea,40
Sullivantia oregana,15
Tellima grandiflora,153
Tiarella trifoliata,288
Tolmiea menziesii,135
