binomial,count
Alkakengi officinarum,3
Atropa belladonna,2
Datura stramonium,3
Datura wrightii,3
Hyoscyamus niger,1
Lycium barbarum,1
Lycium chinense,2
Nicandra physalodes,3
Nicotiana acuminata,8
Nicotiana alata,1
Nicotiana attenuata,15
Nicotiana caesia,1
Nicotiana langsdorffii,1
Nicotiana sylvestris,2
Physalis grisea,7
Physalis ixocarpa,7
Physalis longifolia,3
Physalis peruviana,1
Physalis philadelphica,6
Salpiglossis sinuata,1
Solanum americanum,21
Solanum carolinense,1
Solanum dulcamara,56
Solanum furcatum,5
Solanum lycopersicum,14
Solanum nigrum,41
Solanum physalifolium,12
Solanum ptychanthum,2
Solanum rostratum,16
Solanum sarachoides,18
Solanum sarrachoides,14
Solanum triflorum,9
Solanum tuberosum,4
Solanum villosum,2
Swartzia montana,1
