binomial,count
Allium acuminatum,50
Allium amplectens,75
Allium anceps,3
Allium atrorubens,1
Allium bisceptrum,11
Allium bolanderi,53
Allium campanulatum,94
Allium cratericola,9
Allium dichlamydeum,28
Allium falcifolium,163
Allium fimbriatum,2
Allium hoffmanii,76
Allium lemmonii,19
Allium membranaceum,13
Allium neapolitanum,1
Allium obtusum,5
Allium paniculatum,1
Allium parvum,12
Allium peninsulare,9
Allium platycaule,42
Allium punctum,1
Allium sanbornii,5
Allium serra,3
Allium siskiyouense,117
Allium tolmiei,17
Allium tribracteatum,1
Allium triquetrum,46
Allium unifolium,25
Allium validum,55
Allium vineale,4
Ipheion uniflorum,1
