binomial,count
Anethum graveolens,1
Angelica arguta,55
Angelica breweri,2
Angelica californica,9
Angelica genuflexa,15
Angelica hendersonii,59
Angelica lucida,66
Angelica tomentosa,38
Anthriscus caucalis,20
Apiastrum angustifolium,3
Apium graveolens,8
Berula erecta,20
Bowlesia incana,1
Cicuta douglasii,41
Cicuta maculata,1
Conioselinum pacificum,16
Conium maculatum,316
Cyclospermum leptophyllum,2
Cymopterus terebinthinus,41
Daucus carota,43
Daucus pusillus,78
Eryngium alismifolium,26
Eryngium aristulatum,19
Eryngium armatum,29
Eryngium articulatum,40
Eryngium castrense,3
Eryngium mathiasiae,50
Eryngium vaseyi,3
Foeniculum vulgare,308
Glehnia littoralis,65
Heracleum maximum,117
Ligusticum apiifolium,43
Ligusticum californicum,51
Ligusticum grayi,79
Lilaeopsis occidentalis,10
Lomatium bicolor,88
Lomatium californicum,39
Lomatium canbyi,18
Lomatium caruifolium,3
Lomatium ciliolatum,55
Lomatium congdonii,6
Lomatium dasycarpum,41
Lomatium dissectum,49
Lomatium engelmannii,76
Lomatium foeniculaceum,8
Lomatium grayi,3
Lomatium hallii,1
Lomatium hendersonii,12
Lomatium hooveri,5
Lomatium howellii,94
Lomatium macrocarpum,198
Lomatium marginatum,15
Lomatium martindalei,15
Lomatium nevadense,46
Lomatium nudicaule,50
Lomatium peckianum,30
Lomatium piperi,16
Lomatium plummerae,3
Lomatium ravenii,2
Lomatium roseanum,3
Lomatium tracyi,95
Lomatium triternatum,93
Lomatium utriculatum,46
Lomatium vaginatum,39
Oenanthe sarmentosa,73
Orogenia fusiformis,12
Osmorhiza berteroi,191
Osmorhiza depauperata,8
Osmorhiza occidentalis,74
Osmorhiza purpurea,14
Oxypolis occidentalis,2
Pastinaca sativa,11
Perideridia bolanderi,33
Perideridia gairdneri,53
Perideridia howellii,16
Perideridia kelloggii,62
Perideridia lemmonii,8
Perideridia leptocarpa,15
Perideridia oregana,63
Perideridia parishii,73
Petroselinum crispum,1
Sanicula arctopoides,37
Sanicula bipinnata,10
Sanicula bipinnatifida,95
Sanicula crassicaulis,121
Sanicula graveolens,122
Sanicula laciniata,36
Sanicula maritima,1
Sanicula peckiana,78
Sanicula tracyi,95
Sanicula tuberosa,76
Scandix pecten-veneris,24
Sium suave,8
Sphenosciadium capitellatum,19
Tauschia glauca,62
Tauschia hartwegii,1
Tauschia howellii,11
Tauschia kelloggii,27
Torilis arvensis,391
Torilis japonica,1
Torilis nodosa,12
Yabea microcarpa,39
