binomial,count
Achillea filipendulina,1
Achillea millefolium,337
Achyrachaena mollis,28
Acroptilon repens,53
Adenocaulon bicolor,167
Ageratina occidentalis,106
Ageratina shastensis,43
Agoseris apargioides,16
Agoseris aurantiaca,33
Agoseris glauca,10
Agoseris grandiflora,111
Agoseris heterophylla,133
Agoseris hirsuta,6
Agoseris monticola,19
Agoseris parviflora,14
Agoseris retrorsa,83
Ambrosia acanthicarpa,1
Ambrosia artemisiifolia,9
Ambrosia chamissonis,84
Ambrosia confertiflora,2
Ambrosia psilostachya,3
Anaphalis margaritacea,128
Ancistrocarphus filagineus,25
Anisocarpus madioides,115
Anisocarpus scabridus,87
Antennaria argentea,89
Antennaria corymbosa,1
Antennaria dimorpha,58
Antennaria flagellaris,14
Antennaria geyeri,48
Antennaria howellii,14
Antennaria lanata,2
Antennaria luzuloides,47
Antennaria media,24
Antennaria microphylla,26
Antennaria racemosa,22
Antennaria rosea,67
Antennaria sawyeri,1
Antennaria suffrutescens,78
Antennaria umbrinella,12
Anthemis arvensis,7
Anthemis cotula,42
Arctium lappa,1
Arctium minus,12
Arctotheca calendula,40
Arctotheca prostrata,3
Arnica cernua,98
Arnica chamissonis,37
Arnica cordifolia,62
Arnica dealbata,9
Arnica discoidea,155
Arnica fulgens,27
Arnica lanceolata,25
Arnica latifolia,35
Arnica longifolia,23
Arnica mollis,88
Arnica nevadensis,17
Arnica ovata,19
Arnica parryi,9
Arnica sororia,21
Arnica spathulata,88
Arnica venosa,51
Arnica viscosa,60
Artemisia arbuscula,94
Artemisia biennis,8
Artemisia borealis,6
Artemisia californica,9
Artemisia cana,17
Artemisia douglasiana,121
Artemisia dracunculus,9
Artemisia ludoviciana,57
Artemisia michauxiana,5
Artemisia norvegica,14
Artemisia nova,4
Artemisia pycnocephala,57
Artemisia spiciformis,1
Artemisia suksdorfii,18
Artemisia tridentata,86
Artemisia vulgaris,1
Baccharis glutinosa,67
Baccharis pilularis,269
Baccharis salicifolia,10
Balsamorhiza deltoidea,46
Balsamorhiza hirsuta,2
Balsamorhiza hookeri,33
Balsamorhiza lanata,62
Balsamorhiza macrolepis,11
Balsamorhiza sagittata,43
Balsamorhiza sericea,28
Balsamorhiza serrata,5
Bellis perennis,85
Bidens cernua,35
Bidens frondosa,13
Bidens laevis,2
Bidens tripartita,1
Bidens vulgata,1
Blennosperma nanum,11
Blepharipappus scaber,112
Brickellia californica,76
Brickellia grandiflora,24
Brickellia greenei,58
Brickellia microphylla,2
Cacaliopsis nardosmia,53
Calycadenia fremontii,69
Calycadenia micrantha,21
Calycadenia multiglandulosa,15
Calycadenia pauciflora,20
Calycadenia truncata,36
Carduus acanthoides,73
Carduus nutans,236
Carduus pycnocephalus,116
Carduus tenuiflorus,204
Carthamus creticus,1
Carthamus lanatus,34
Carthamus tinctorius,1
Centaurea benedicta,5
Centaurea calcitrapa,50
Centaurea cineraria,1
Centaurea cyanus,31
Centaurea debeauxii,118
Centaurea diffusa,459
Centaurea jacea,10
Centaurea melitensis,156
Centaurea nigrescens,31
Centaurea solstitialis,2302
Centaurea stoebe,669
Centaurea virgata,170
Centromadia fitchii,18
Centromadia parryi,7
Centromadia pungens,2
Chaenactis carphoclinia,1
Chaenactis douglasii,139
Chaenactis glabriuscula,31
Chaenactis suffrutescens,99
Chamaemelum fuscatum,2
Chamaemelum nobile,3
Chondrilla juncea,173
Chrysothamnus humilis,12
Chrysothamnus viscidiflorus,77
Cichorium intybus,43
Cirsium andersonii,22
Cirsium andrewsii,3
Cirsium arvense,756
Cirsium brevistylum,28
Cirsium ciliolatum,9
Cirsium cymosum,68
Cirsium douglasii,87
Cirsium inamoenum,2
Cirsium neomexicanum,1
Cirsium occidentale,131
Cirsium ochrocentrum,23
Cirsium quercetorum,25
Cirsium remotifolium,62
Cirsium scariosum,31
Cirsium undulatum,7
Cirsium vulgare,1291
Corethrogyne filaginifolia,113
Cotula australis,12
Cotula coronopifolia,71
Crepis acuminata,75
Crepis bakeri,31
Crepis capillaris,62
Crepis intermedia,26
Crepis modocensis,26
Crepis monticola,51
Crepis occidentalis,135
Crepis pleurocarpa,117
Crepis runcinata,7
Crepis setosa,4
Crepis tectorum,1
Crepis vesicaria,6
Crocidium multicaule,68
Crupina vulgaris,17
Cynara cardunculus,5
Deinandra corymbosa,17
Deinandra kelloggii,1
Deinandra lobbii,13
Delairea odorata,286
Dieteria canescens,105
Dimeresia howellii,53
Dittrichia graveolens,12
Eatonella nivea,1
Echinops sphaerocephalus,1
Ericameria arborescens,40
Ericameria bloomeri,137
Ericameria cuneata,2
Ericameria discoidea,8
Ericameria greenei,97
Ericameria linearifolia,15
Ericameria nauseosa,275
Ericameria ophitidis,74
Ericameria parryi,38
Ericameria pinifolia,1
Ericameria suffruticosa,1
Erigeron aliceae,34
Erigeron annuus,7
Erigeron aphanactis,6
Erigeron biolettii,31
Erigeron bloomeri,110
Erigeron bonariensis,3
Erigeron canadensis,46
Erigeron cervinus,84
Erigeron chrysopsidis,21
Erigeron compositus,51
Erigeron concinnus,2
Erigeron coulteri,8
Erigeron divergens,39
Erigeron eatonii,58
Erigeron elegantulus,39
Erigeron filifolius,39
Erigeron foliosus,96
Erigeron glacialis,36
Erigeron glaucus,91
Erigeron greenei,20
Erigeron inornatus,157
Erigeron karvinskianus,2
Erigeron klamathensis,45
Erigeron lassenianus,39
Erigeron linearis,39
Erigeron maniopotamicus,13
Erigeron nivalis,14
Erigeron petrophilus,136
Erigeron philadelphicus,95
Erigeron pumilus,28
Erigeron reductus,28
Erigeron robustior,15
Erigeron serpentinus,12
Erigeron strigosus,16
Erigeron sumatrensis,4
Erigeron supplex,23
Erigeron tener,11
Eriophyllum confertiflorum,3
Eriophyllum lanatum,826
Eriophyllum staechadifolium,35
Eucephalus breweri,3
Eucephalus engelmannii,2
Eucephalus glabratus,28
Eucephalus ledophyllus,87
Eucephalus tomentellus,67
Eucephalus vialis,2
Euchiton gymnocephalus,27
Euchiton involucratus,1
Euchiton sphaericus,34
Eurybia integrifolia,12
Eurybia merita,1
Eurybia radulina,49
Euthamia occidentalis,40
Filago pyramidata,1
Gaillardia aristata,1
Gamochaeta coarctata,3
Gamochaeta ustulata,73
Glebionis coronaria,1
Glebionis segetum,32
Gnaphalium palustre,143
