Berberis aquifolium var. repens	Creeping oregon grape	322 records (287 CCH)		Shrub	native	BERBERIDACEAE
Berberis aquifolium var. dictyota	Jepson's oregon grape	296 records (231 CCH)		Shrub	native	BERBERIDACEAE
Berberis nervosa	Oregon grape	294 records (228 CCH)		Shrub	native	BERBERIDACEAE
Berberis pinnata	Shiny leaf mahonia	213 records (179 CCH)		Shrub	native	BERBERIDACEAE
Vancouveria planipetala	Inside out flower	188 records (123 CCH)		Perennial herb	native	BERBERIDACEAE
Berberis pinnata ssp. pinnata	Coast barberry	158 records (55 CCH)		Shrub	native	BERBERIDACEAE
Berberis aquifolium var. aquifolium	Oregon grape	119 records (105 CCH)		Shrub	native	BERBERIDACEAE
Berberis aquifolium	Mountain grape	113 records (78 CCH)		Shrub	native	BERBERIDACEAE
Vancouveria hexandra	Northern vancouveria	84 records (55 CCH)		Perennial herb	native	BERBERIDACEAE
Achlys triphylla	Vanilla leaf	66 records (52 CCH)		Perennial herb	native	BERBERIDACEAE
Berberis darwinii	Darwin's berberis	48 records (2 CCH)		Shrub	invasive non-native	BERBERIDACEAE
Vancouveria chrysantha	Siskiyou inside out flower	48 records (39 CCH)		Perennial herb (rhizomatous)	native	BERBERIDACEAE
Achlys triphylla ssp. triphylla	Deer foot	29 records (11 CCH)		Perennial herb	native	BERBERIDACEAE
Achlys californica	California deer foot	26 records (20 CCH)		Perennial herb	native	BERBERIDACEAE
Berberis nevinii	Nevin's barberry	9 records (5 CCH)		Shrub	native	BERBERIDACEAE
Berberis vulgaris	Common barberry	4 records (3 CCH)		Shrub	non-native	BERBERIDACEAE
