binomial,count
Alyssum alyssoides,30
Alyssum desertorum,17
Alyssum simplex,30
Arabidopsis thaliana,16
Arabis aculeolata,13
Arabis blepharophylla,1
Arabis eschscholtziana,8
Arabis holboellii,6
Arabis mcdonaldiana,68
Arabis modesta,26
Arabis oregana,42
Arabis pycnocarpa,7
Arabis repanda,7
Arabis rigidissima,6
Athysanus pusillus,73
Aubrieta deltoidea,2
Barbarea orthoceras,169
Barbarea verna,7
Barbarea vulgaris,11
Boechera acutina,16
Boechera arcuata,4
Boechera breweri,149
Boechera cobrensis,1
Boechera covillei,1
Boechera davidsonii,1
Boechera divaricarpa,16
Boechera howellii,16
Boechera koehleri,25
Boechera lemmonii,6
Boechera lyallii,19
Boechera microphylla,1
Boechera pauciflora,24
Boechera paupercula,4
Boechera pinetorum,23
Boechera pinzliae,1
Boechera platysperma,56
Boechera pratincola,1
Boechera puberula,18
Boechera pulchra,1
Boechera rectissima,8
Boechera repanda,20
Boechera retrofracta,107
Boechera rigidissima,4
Boechera rollei,6
Boechera serpenticola,7
Boechera sparsiflora,37
Boechera stricta,9
Boechera subpinnatifida,83
Boechera suffrutescens,29
Boechera ultraalsa,2
Brassica nigra,265
Brassica oleracea,2
Brassica rapa,200
Brassica tournefortii,1
Cakile edentula,30
Cakile maritima,102
Camelina microcarpa,24
Capsella bursa-pastoris,43
Cardamine angulata,6
Cardamine bellidifolia,24
Cardamine breweri,26
Cardamine californica,321
Cardamine cordifolia,6
Cardamine hirsuta,5
Cardamine nuttallii,92
Cardamine occidentalis,2
Cardamine oligosperma,80
Cardamine pachystigma,23
Cardamine pensylvanica,3
Caulanthus lasiophyllus,8
Caulanthus major,1
Chorispora tenella,15
Cochlearia groenlandica,2
Coincya monensis,6
Conringia orientalis,3
Cusickiella douglasii,10
Descurainia incana,19
Descurainia incisa,23
Descurainia longipedicellata,6
Descurainia nelsonii,1
Descurainia pinnata,28
Descurainia sophia,220
Draba albertina,28
Draba aureola,11
Draba breweri,3
Draba carnosula,25
Draba densifolia,8
Draba howellii,70
Draba nemorosa,4
Draba novolympica,3
Draba pterosperma,34
Draba reptans,1
Draba verna,59
Eruca vesicaria,3
Erysimum capitatum,219
Erysimum concinnum,37
Erysimum franciscanum,7
Erysimum menziesii,73
Erysimum perenne,92
Erysimum repandum,16
Euclidium syriacum,4
Hesperis matronalis,1
Hirschfeldia incana,154
Hornungia procumbens,6
Idahoa scapigera,45
Ionopsidium acaule,3
Isatis tinctoria,1334
Lepidium acutidens,2
Lepidium appelianum,30
Lepidium campestre,65
Lepidium chalepense,121
Lepidium densiflorum,7
Lepidium dictyotum,2
Lepidium didymum,28
Lepidium draba,35
Lepidium heterophyllum,41
Lepidium lasiocarpum,4
Lepidium latifolium,192
Lepidium latipes,13
Lepidium montanum,14
Lepidium nitidum,19
Lepidium oblongum,2
Lepidium perfoliatum,29
Lepidium ramosissimum,1
Lepidium strictum,20
Lepidium virginicum,12
Lobularia maritima,9
Lunaria annua,3
Matthiola incana,2
Nasturtium officinale,67
Noccaea fendleri,124
Phoenicaulis cheiranthoides,117
Physaria occidentalis,52
Polyctenium fremontii,23
Raphanus raphanistrum,14
Raphanus sativus,139
Rorippa austriaca,13
Rorippa columbiae,36
Rorippa curvipes,10
Rorippa curvisiliqua,112
Rorippa palustris,16
Rorippa sinuata,4
Rorippa tenerrima,2
Sinapis alba,2
Sinapis arvensis,6
Sisymbrium altissimum,55
Sisymbrium officinale,20
Sisymbrium orientale,2
Streptanthus barbatus,65
Streptanthus barbiger,26
Streptanthus breweri,48
Streptanthus campestris,1
Streptanthus cordatus,23
Streptanthus drepanoides,101
Streptanthus glandulosus,71
Streptanthus hesperidis,1
Streptanthus howellii,20
Streptanthus longisiliquus,8
Streptanthus morrisonii,45
Streptanthus oblanceolatus,5
Streptanthus tortuosus,445
Streptanthus vimineus,6
Subularia aquatica,1
Thelypodium brachycarpum,61
Thelypodium crispum,1
Thelypodium flexuosum,4
Thelypodium howellii,18
Thelypodium laciniatum,2
Thlaspi arvense,25
Thysanocarpus curvipes,79
Thysanocarpus laciniatus,7
Thysanocarpus radians,10
Tropidocarpum gracile,6
Turritis glabra,116
