Opuntia basilaris	Beavertail	172 records (15 CCH)		Shrub (stem succulent)	native	CACTACEAE
Echinocactus polycephalus var. polycephalus	Cottontop	107 records (3 CCH)		Shrub (stem succulent)	native	CACTACEAE
Opuntia basilaris var. basilaris	Beavertail cactus	73 records (55 CCH)		Shrub (stem succulent)	native	CACTACEAE
Sclerocactus polyancistrus	Mojave fish hook cactus	60 records (9 CCH)		Shrub (stem succulent)	native	CACTACEAE
Cylindropuntia echinocarpa	Wiggins' cholla	58 records (17 CCH)		Shrub (stem succulent)	native	CACTACEAE
Opuntia basilaris var. treleasei	Bakersfield cactus	57 records (39 CCH)		Shrub (stem succulent)	native	CACTACEAE
Opuntia polyacantha var. erinacea	Grizzlybear pricklypear	46 records (32 CCH)		Shrub (stem succulent)	native	CACTACEAE
Echinocereus engelmannii	Calico cactus	45 records (8 CCH)		Shrub (stem succulent)	native	CACTACEAE
Opuntia polyacantha	Plains pricklypear	33 records (6 CCH)		Shrub (stem succulent)	native	CACTACEAE
Echinocereus mojavensis	Mojave kingcup cactus	31 records (19 CCH)		Shrub (stem succulent)	native	CACTACEAE
Opuntia ficus-indica	Tuna	29 records (11 CCH)		Shrub (stem succulent)	non-native	CACTACEAE
Opuntia phaeacantha	Brown spined prickly pear	26 records (21 CCH)		Shrub (stem succulent)	native	CACTACEAE
Grusonia pulchella	Sagebrush cholla	17 records (5 CCH)		Shrub (stem succulent)	native	CACTACEAE
Mammillaria tetrancistra	Common fish hook cactus	13 records (1 CCH)		Shrub (stem succulent)	native	CACTACEAE
Echinocactus polycephalus	Cottontop cactus	11 records (8 CCH)		Shrub (stem succulent)	native	CACTACEAE
Cylindropuntia californica var. parkeri	Brownspined pricklypear	10 records (10 CCH)		Perennial herb (stem succulent)	native	CACTACEAE
Opuntia littoralis	Prickly pear	9 records (3 CCH)		Shrub (stem succulent)	native	CACTACEAE
Opuntia fragilis	Brittle prickly pear	9 records (7 CCH)		Shrub (stem succulent)	native	CACTACEAE
Cylindropuntia californica	California cholla	8 records (4 CCH)		Perennial herb (stem succulent)	native	CACTACEAE
Sclerocactus johnsonii	Johnson's devil claw	7 records (1 CCH)		Shrub (stem succulent)	native	CACTACEAE
Echinocereus engelmannii var. engelmannii	Engelmann's hedgehog cactus	6 records (4 CCH)		Shrub (stem succulent)	native	CACTACEAE
Cylindropuntia acanthocarpa var. acanthocarpa	Buckhorn cholla	6 records (1 CCH)		Perennial herb (stem succulent)	native	CACTACEAE
Opuntia Xvaseyi	Vasey's prickly pear	5 records		Shrub	native	CACTACEAE
Opuntia polyacantha var. hystricina	Grizzlybear pricklypear	4 records (4 CCH)		Shrub (stem succulent)	native	CACTACEAE
Carnegiea gigantea	Saguaro	4 records		Shrub (stem succulent)	native	CACTACEAE
Opuntia oricola	Chaparral pricklypear	3 records (3 CCH)		Shrub (stem succulent)	native	CACTACEAE
Ferocactus cylindraceus	California barrel cactus	3 records (2 CCH)		Shrub (stem succulent)	native	CACTACEAE
Cylindropuntia ramosissima	Branched pencil cholla	3 records (1 CCH)		Shrub (stem succulent)	native	CACTACEAE
Opuntia basilaris var. brachyclada	Short joint beavertail	2 records		Shrub (stem succulent)	native	CACTACEAE
Opuntia Xoccidentalis	Western prickly pear	2 records		Shrub (stem succulent)	native	CACTACEAE
Coryphantha chlorantha	Desert pincushion	2 records		Perennial herb	native	CACTACEAE
Opuntia engelmannii var. engelmannii	Engelmann prickly pear	2 records		Shrub	native	CACTACEAE
Coryphantha vivipara	Spinystar	1 record		Shrub (stem succulent)	native	CACTACEAE
Cylindropuntia californica var. californica	California pricklypear	1 record		Perennial herb (stem succulent)	native	CACTACEAE
Cylindropuntia munzii	Munz's cholla	1 record		Perennial herb (stem succulent)	native	CACTACEAE
Echinocereus engelmannii var. chrysocentrus	Engelmann's hedgehog cactus	1 record (1 CCH)		Shrub (stem succulent)	native	CACTACEAE
Cylindropuntia bigelovii	Teddybear cholla	1 record		Shrub (stem succulent)	native	CACTACEAE
