binomial,count
Asyneuma prenanthoides,154
Campanula angustiflora,1
Campanula californica,73
Campanula griffinii,6
Campanula rotundifolia,19
Campanula scabrella,30
Campanula scouleri,49
Campanula shetleri,11
Campanula wilkinsiana,40
Downingia bacigalupii,83
Downingia bicornuta,33
Downingia concolor,3
Downingia cuspidata,18
Downingia elegans,41
Downingia insignis,19
Downingia laeta,18
Downingia montana,11
Downingia pulchella,1
Downingia pulcherrima,19
Downingia willamettensis,3
Downingia yina,15
Githopsis diffusa,17
Githopsis pulchella,1
Githopsis specularioides,47
Heterocodon rariflorum,67
Howellia aquatilis,14
Nemacladus capillaris,36
Nemacladus longiflorus,1
Nemacladus montanus,5
Porterella carnosula,24
Triodanis biflora,10
Triodanis perfoliata,1
