binomial,count
Agrostemma githago,3
Arenaria paludicola,1
Arenaria serpyllifolia,25
Cardionema ramosissimum,32
Cerastium arvense,91
Cerastium beeringianum,2
Cerastium dichotomum,11
Cerastium fontanum,35
Cerastium glomeratum,78
Cerastium viride,1
Dianthus armeria,12
Dianthus barbatus,1
Dianthus deltoides,6
Eremogone aculeata,48
Eremogone congesta,186
Eremogone kingii,19
Gypsophila paniculata,3
Herniaria hirsuta,8
Holosteum umbellatum,25
Lychnis coronaria,9
Minuartia californica,19
Minuartia cismontana,4
Minuartia decumbens,10
Minuartia douglasii,124
Minuartia howellii,45
Minuartia nuttallii,177
Minuartia pusilla,8
Minuartia rosei,65
Minuartia rubella,5
Minuartia stolonifera,20
Moehringia macrophylla,70
Moenchia erecta,2
Paronychia ahartii,1
Petrorhagia dubia,25
Petrorhagia nanteuilii,4
Petrorhagia prolifera,3
Polycarpon tetraphyllum,11
Pseudostellaria jamesiana,89
Sabulina decumbens,1
Sabulina howellii,9
Sabulina rosei,3
Sabulina stolonifera,4
Sagina apetala,25
Sagina decumbens,6
Sagina maxima,13
Sagina procumbens,11
Sagina saginoides,33
Saponaria officinalis,79
Scleranthus annuus,31
Silene antirrhina,15
Silene bernardina,31
Silene bolanderi,19
Silene bridgesii,5
Silene campanulata,141
Silene dichotoma,1
Silene douglasii,47
Silene gallica,68
Silene grayi,73
Silene hookeri,56
Silene invisa,2
Silene laciniata,185
Silene latifolia,2
Silene lemmonii,66
Silene marmorensis,11
Silene menziesii,26
Silene noctiflora,1
Silene nuda,5
Silene occidentalis,11
Silene oregana,12
Silene salmonacea,15
Silene scouleri,2
Silene serpentinicola,56
Silene suksdorfii,8
Silene verecunda,9
Silene vulgaris,4
Spergula arvensis,25
Spergularia bocconi,4
Spergularia canadensis,9
Spergularia macrotheca,18
Spergularia marina,8
Spergularia rubra,49
Stellaria borealis,30
Stellaria calycantha,16
Stellaria crispa,21
Stellaria littoralis,4
Stellaria longifolia,11
Stellaria longipes,35
Stellaria media,72
Stellaria nitens,32
Stellaria obtusa,15
Stellaria pallida,4
Stellaria umbellata,14
Vaccaria hispanica,5
Velezia rigida,11
