binomial,count
Atriplex argentea,4
Atriplex dioica,1
Atriplex gardneri,5
Atriplex gmelinii,5
Atriplex hortensis,1
Atriplex leucophylla,9
Atriplex micrantha,3
Atriplex prostrata,21
Atriplex pusilla,1
Atriplex rosea,21
Atriplex truncata,4
Bassia hyssopifolia,20
Chenopodium album,33
Chenopodium atrovirens,6
Chenopodium berlandieri,14
Chenopodium californicum,1
Chenopodium chenopodioides,2
Chenopodium desiccatum,4
Chenopodium foliosum,4
Chenopodium fremontii,2
Chenopodium glaucum,3
Chenopodium hians,6
Chenopodium leptophyllum,3
Chenopodium macrospermum,2
Chenopodium murale,2
Chenopodium polyspermum,3
Chenopodium pratericola,2
Chenopodium rubrum,9
Chenopodium simplex,6
Chenopodium vulvaria,3
Dysphania ambrosioides,38
Dysphania botrys,39
Dysphania chilensis,2
Dysphania multifida,3
Dysphania pumilio,16
Extriplex californica,1
Grayia spinosa,7
Halogeton glomeratus,10
Kochia scoparia,38
Monolepis nuttalliana,19
Salicornia depressa,6
Salicornia pacifica,6
Salicornia rubra,1
Salsola paulsenii,1
Salsola tragus,111
Suaeda calceoliformis,8
