binomial,count
Calystegia atriplicifolia,31
Calystegia collina,26
Calystegia macrostegia,1
Calystegia malacophylla,35
Calystegia occidentalis,117
Calystegia purpurata,80
Calystegia silvatica,2
Calystegia soldanella,56
Calystegia subacaulis,6
Convolvulus arvensis,61
Cressa truxillensis,4
Cuscuta approximata,3
Cuscuta californica,40
Cuscuta campestris,5
Cuscuta cephalanthi,4
Cuscuta howelliana,5
Cuscuta indecora,5
Cuscuta japonica,1
Cuscuta jepsonii,17
Cuscuta occidentalis,22
Cuscuta pacifica,9
Cuscuta pentagona,5
Cuscuta salina,1
Cuscuta subinclusa,1
Cuscuta suksdorfii,6
Dichondra donelliana,5
