binomial,count
Amphiscirpus nevadensis,8
Bolboschoenus fluviatilis,3
Bolboschoenus maritimus,24
Bolboschoenus robustus,5
Calliscirpus criniger,150
Carex abrupta,44
Carex amplifolia,50
Carex angustata,22
Carex aquatilis,49
Carex arcta,31
Carex atherodes,12
Carex athrostachya,80
Carex aurea,22
Carex barbarae,21
Carex bolanderi,94
Carex brainerdii,63
Carex brevicaulis,14
Carex breweri,31
Carex buxbaumii,33
Carex californica,93
Carex canescens,2
Carex capitata,2
Carex comosa,12
Carex concinnoides,37
Carex cusickii,24
Carex deflexa,9
Carex densa,72
Carex diandra,7
Carex disperma,4
Carex douglasii,23
Carex echinata,75
Carex exsiccata,25
Carex feta,39
Carex filifolia,10
Carex fissuricola,1
Carex fracta,46
Carex geyeri,45
Carex globosa,44
Carex gracilior,9
Carex gynodynama,29
Carex halliana,38
Carex harfordii,23
Carex hassei,49
Carex haydeniana,1
Carex hendersonii,35
Carex heteroneura,10
Carex hirtissima,3
Carex hoodii,49
Carex hystericina,8
Carex illota,5
Carex infirminervia,3
Carex inops,38
Carex integra,42
Carex interior,13
Carex jonesii,40
Carex klamathensis,8
Carex laeviculmis,28
Carex lasiocarpa,6
Carex lemmonii,4
Carex lenticularis,90
Carex leporina,8
Carex leporinella,5
Carex leptalea,23
Carex leptopoda,67
Carex limosa,11
Carex livida,3
Carex luzulifolia,4
Carex luzulina,100
Carex lyngbyei,34
Carex mariposana,9
Carex mendocinensis,62
Carex mertensii,8
Carex microptera,32
Carex multicaulis,108
Carex multicostata,54
Carex nardina,3
Carex nebrascensis,66
Carex nervina,15
Carex neurophora,9
Carex nigricans,12
Carex nudata,93
Carex obnupta,121
Carex occidentalis,1
Carex pachycarpa,15
Carex pachystachya,80
Carex pansa,21
Carex pellita,60
Carex petasata,24
Carex phaeocephala,14
Carex praegracilis,45
Carex praticola,25
Carex preslii,22
Carex proposita,1
Carex raynoldsii,9
Carex rossii,63
Carex saliniformis,31
Carex scabriuscula,124
Carex scirpoidea,3
Carex scopulorum,59
Carex senta,2
Carex serpenticola,38
Carex serratodens,58
Carex sheldonii,21
Carex simulata,18
Carex specifica,1
Carex spectabilis,38
Carex stipata,14
Carex straminiformis,22
Carex subbracteata,38
Carex subfusca,118
Carex tompkinsii,1
Carex tumulicola,51
Carex unilateralis,13
Carex utriculata,55
Carex vallicola,5
Carex vernacula,3
Carex vesicaria,62
Carex viridula,28
Carex vulpinoidea,9
Carex whitneyi,17
Cyperus acuminatus,3
Cyperus bipartitus,12
Cyperus difformis,1
Cyperus eragrostis,64
Cyperus erythrorhizos,7
Cyperus esculentus,3
Cyperus flavescens,1
Cyperus fuscus,1
Cyperus niger,7
Cyperus odoratus,2
Cyperus squarrosus,34
Cyperus strigosus,3
Dulichium arundinaceum,12
Eleocharis acicularis,43
Eleocharis bella,28
Eleocharis bolanderi,2
Eleocharis coloradoensis,5
Eleocharis decumbens,24
Eleocharis engelmannii,10
Eleocharis macrostachya,87
Eleocharis montevidensis,5
Eleocharis obtusa,11
Eleocharis ovata,1
Eleocharis pachycarpa,17
Eleocharis palustris,7
Eleocharis parishii,22
Eleocharis parvula,10
Eleocharis quinqueflora,10
Eleocharis radicans,8
Eleocharis rostellata,10
Eleocharis suksdorfiana,14
Eriophorum gracile,17
Isolepis carinata,6
Isolepis cernua,57
Isolepis levynsiana,3
Isolepis setacea,10
Lipocarpha micrantha,3
Rhynchospora alba,24
Rhynchospora capitellata,6
Schoenoplectus acutus,58
Schoenoplectus americanus,18
Schoenoplectus californicus,5
Schoenoplectus mucronatus,1
Schoenoplectus pungens,41
Schoenoplectus subterminalis,19
Schoenoplectus tabernaemontani,11
Scirpus congdonii,45
Scirpus diffusus,5
Scirpus microcarpus,129
Scirpus pendulus,6
