binomial,count
Allotropa virgata,41
Arbutus menziesii,337
Arctostaphylos Xcinerea,6
Arctostaphylos bakeri,77
Arctostaphylos canescens,327
Arctostaphylos columbiana,550
Arctostaphylos crustacea,2
Arctostaphylos densiflora,4
Arctostaphylos glandulosa,236
Arctostaphylos glauca,1
Arctostaphylos hispidula,136
Arctostaphylos hookeri,1
Arctostaphylos klamathensis,37
Arctostaphylos malloryi,24
Arctostaphylos manzanita,508
Arctostaphylos mewukka,3
Arctostaphylos montana,5
Arctostaphylos nevadensis,426
Arctostaphylos nortensis,18
Arctostaphylos nummularia,230
Arctostaphylos patula,481
Arctostaphylos pechoensis,1
Arctostaphylos pungens,2
Arctostaphylos stanfordiana,86
Arctostaphylos tomentosa,7
Arctostaphylos uva-ursi,118
Arctostaphylos viscida,276
Cassiope mertensiana,59
Chimaphila menziesii,111
Chimaphila umbellata,182
Empetrum nigrum,25
Erica lusitanica,13
Gaultheria humifusa,12
Gaultheria ovatifolia,70
Gaultheria shallon,513
Hemitomes congestum,12
Kalmia polifolia,87
Leucothoe davisiae,81
Menziesia ferruginea,42
Moneses uniflora,14
Monotropa hypopitys,27
Monotropa uniflora,29
Orthilia secunda,145
Phyllodoce breweri,3
Phyllodoce empetriformis,137
Pityopus californicus,116
Pleuricospora fimbriolata,27
Pterospora andromedea,66
Pyrola aphylla,18
Pyrola asarifolia,25
Pyrola chlorantha,1
Pyrola crypta,8
Pyrola dentata,15
Pyrola minor,9
Pyrola picta,237
Rhododendron columbianum,318
Rhododendron macrophyllum,359
Rhododendron occidentale,337
Sarcodes sanguinea,21
Vaccinium cespitosum,164
Vaccinium coccineum,8
Vaccinium deliciosum,11
Vaccinium membranaceum,127
Vaccinium ovatum,555
Vaccinium parvifolium,314
Vaccinium scoparium,57
Vaccinium shastense,4
Vaccinium uliginosum,42
