binomial,count
Acacia dealbata,60
Acacia decurrens,3
Acacia melanoxylon,27
Acacia pycnantha,2
Acmispon americanus,205
Acmispon brachycarpus,120
Acmispon cytisoides,2
Acmispon denticulatus,70
Acmispon glaber,36
Acmispon grandiflorus,32
Acmispon heermannii,3
Acmispon junceus,9
Acmispon maritimus,1
Acmispon micranthus,23
Acmispon nevadensis,64
Acmispon parviflorus,73
Acmispon rubriflorus,2
Acmispon strigosus,1
Acmispon wrangelianus,33
Albizia julibrissin,3
Amorpha californica,20
Astragalus accidens,10
Astragalus agnicidus,36
Astragalus andersonii,1
Astragalus anxius,11
Astragalus bolanderi,2
Astragalus breweri,10
Astragalus californicus,8
Astragalus canadensis,1
Astragalus clevelandii,19
Astragalus curvicarpus,30
Astragalus filipes,57
Astragalus gambelianus,21
Astragalus gibbsii,7
Astragalus inversus,45
Astragalus lemmonii,18
Astragalus lentiginosus,22
Astragalus nuttallii,6
Astragalus obscurus,6
Astragalus pulsiferae,23
Astragalus purshii,93
Astragalus pycnostachyus,10
Astragalus rattanii,91
Astragalus tephrodes,1
Astragalus umbraticus,35
Astragalus whitneyi,100
Cercis occidentalis,190
Colutea arborescens,1
Coronilla varia,3
Cytisus multiflorus,1
Cytisus scoparius,3850
Cytisus striatus,1
Genista linifolia,1
Genista monspessulana,590
Glycyrrhiza lepidota,4
Hoita macrostachya,4
Hosackia crassifolia,101
Hosackia gracilis,97
Hosackia oblongifolia,100
Hosackia pinnata,27
Hosackia rosea,44
Hosackia stipularis,27
Hosackia yollabolliensis,26
Lathyrus angulatus,6
Lathyrus biflorus,8
Lathyrus brownii,28
Lathyrus delnorticus,62
Lathyrus glandulosus,18
Lathyrus hirsutus,5
Lathyrus japonicus,40
Lathyrus jepsonii,44
Lathyrus lanszwertii,48
Lathyrus latifolius,227
Lathyrus littoralis,43
Lathyrus nevadensis,60
Lathyrus odoratus,1
Lathyrus palustris,51
Lathyrus polyphyllus,35
Lathyrus rigidus,18
Lathyrus sulphureus,68
Lathyrus tingitanus,8
Lathyrus torreyi,34
Lathyrus vestitus,86
Lotus angustissimus,17
Lotus corniculatus,59
Lotus tenuis,8
Lotus uliginosus,4
Lupinus adsurgens,64
Lupinus affinis,7
Lupinus albicaulis,67
Lupinus albifrons,257
Lupinus andersonii,21
Lupinus angustiflorus,12
Lupinus antoninus,17
Lupinus arboreus,189
Lupinus arbustus,31
Lupinus argenteus,168
Lupinus bicolor,99
Lupinus brevicaulis,1
Lupinus breweri,17
Lupinus chamissonis,11
Lupinus constancei,14
Lupinus croceus,83
Lupinus elmeri,22
Lupinus excubitus,1
Lupinus formosus,15
Lupinus grayi,1
Lupinus lapidicola,38
Lupinus latifolius,151
Lupinus lepidus,175
Lupinus leucophyllus,39
Lupinus littoralis,39
Lupinus luteolus,53
Lupinus microcarpus,82
Lupinus milo-bakeri,8
Lupinus nanus,36
Lupinus obtusilobus,53
Lupinus onustus,22
Lupinus pachylobus,1
Lupinus polyphyllus,64
Lupinus pusillus,6
Lupinus rivularis,33
Lupinus saxosus,21
Lupinus sericatus,5
Lupinus succulentus,2
Lupinus tidestromii,8
Lupinus tracyi,49
Lupinus uncialis,7
Lupinus variicolor,21
Medicago arabica,9
Medicago lupulina,49
Medicago minima,5
Medicago polymorpha,299
Medicago praecox,3
Medicago sativa,8
Melilotus albus,47
Melilotus indicus,37
Melilotus officinalis,33
Pediomelum californicum,14
Pickeringia montana,16
Pisum sativum,1
Robinia hispida,1
Robinia pseudoacacia,137
Rupertia physodes,13
Spartium junceum,142
Thermopsis californica,74
Thermopsis gracilis,107
Thermopsis macrophylla,35
Thermopsis robusta,31
Trifolium albopurpureum,27
Trifolium amoenum,3
Trifolium andersonii,6
Trifolium angustifolium,6
Trifolium arvense,14
Trifolium barbigerum,48
Trifolium beckwithii,17
Trifolium bifidum,39
Trifolium breweri,37
Trifolium buckwestiorum,5
Trifolium campestre,11
Trifolium cernuum,2
Trifolium ciliolatum,21
Trifolium cyathiferum,73
Trifolium depauperatum,35
Trifolium dichotomum,45
Trifolium dubium,93
Trifolium eriocephalum,45
Trifolium fragiferum,10
Trifolium fucatum,34
Trifolium glomeratum,13
Trifolium gracilentum,15
Trifolium grayi,6
Trifolium gymnocarpon,3
Trifolium hirtum,258
Trifolium howellii,66
Trifolium hybridum,33
Trifolium hydrophilum,1
Trifolium incarnatum,10
Trifolium longipes,172
Trifolium macraei,23
Trifolium macrocephalum,43
Trifolium microcephalum,89
Trifolium microdon,34
Trifolium monanthum,2
Trifolium obtusiflorum,46
Trifolium oliganthum,30
Trifolium olivaceum,2
Trifolium polyodon,1
Trifolium pratense,52
Trifolium productum,31
Trifolium repens,79
Trifolium resupinatum,1
Trifolium retusum,3
Trifolium siskiyouense,9
Trifolium striatum,3
Trifolium subterraneum,30
Trifolium trichocalyx,6
Trifolium variegatum,116
Trifolium vesiculosum,1
Trifolium willdenovii,75
Trifolium wormskioldii,125
Ulex europaeus,120
Vicia americana,259
Vicia benghalensis,12
Vicia cracca,3
Vicia faba,1
Vicia gigantea,31
Vicia hassei,2
Vicia hirsuta,32
Vicia lathyroides,2
Vicia ludoviciana,1
Vicia lutea,3
Vicia sativa,93
Vicia tetrasperma,25
Vicia villosa,21
