binomial,count
Centaurium erythraea,11
Centaurium tenuiflorum,7
Cicendia quadrangularis,13
Frasera albicaulis,96
Frasera albomarginata,1
Frasera speciosa,44
Frasera umpquaensis,11
Gentiana affinis,54
Gentiana calycosa,45
Gentiana newberryi,18
Gentiana plurisetosa,41
Gentiana sceptrum,33
Gentiana setigera,22
Gentianella amarella,27
Gentianopsis simplex,17
Swertia perennis,2
Zeltnera davyi,14
Zeltnera exaltata,1
Zeltnera muehlenbergii,64
Zeltnera namophila,6
Zeltnera trichantha,8
Zeltnera venusta,6
