binomial,count
Erodium botrys,50
Erodium brachycarpum,9
Erodium cicutarium,402
Erodium moschatum,13
Geranium bicknellii,9
Geranium californicum,1
Geranium carolinianum,21
Geranium core-core,11
Geranium dissectum,319
Geranium lucidum,33
Geranium molle,52
Geranium oreganum,10
Geranium potentilloides,2
Geranium purpureum,1
Geranium pusillum,2
Geranium retrorsum,14
Geranium richardsonii,2
Geranium robertianum,111
Geranium solanderi,2
Geranium viscosissimum,32
Pelargonium grossularioides,7
Pelargonium vitifolium,3
Pelargonium zonale,1
