binomial,count
Crocosmia Xcrocosmiiflora,31
Iris bracteata,42
Iris chrysophylla,7
Iris douglasiana,140
Iris fernaldii,4
Iris foetidissima,1
Iris germanica,9
Iris hartwegii,8
Iris innominata,80
Iris longipetala,10
Iris macrosiphon,87
Iris missouriensis,36
Iris pseudacorus,26
Iris purdyi,37
Iris tenax,45
Iris tenuissima,86
Iris thompsonii,6
Olsynium douglasii,30
Romulea rosea,18
Sisyrinchium bellum,142
Sisyrinchium californicum,43
Sisyrinchium elmeri,9
Sisyrinchium halophilum,1
Sisyrinchium hitchcockii,2
Sisyrinchium idahoense,22
Sparaxis tricolor,1
Watsonia meriana,31
