binomial,count
Juncus acuminatus,11
Juncus ambiguus,3
Juncus articulatus,24
Juncus balticus,88
Juncus bolanderi,86
Juncus brachyphyllus,8
Juncus breweri,19
Juncus bufonius,132
Juncus capitatus,6
Juncus confusus,20
Juncus covillei,56
Juncus drummondii,32
Juncus dubius,8
Juncus dudleyi,22
Juncus effusus,94
Juncus ensifolius,131
Juncus exiguus,39
Juncus falcatus,14
Juncus hemiendytus,29
Juncus hesperius,37
Juncus howellii,38
Juncus interior,1
Juncus kelloggii,4
Juncus laccatus,32
Juncus leiospermus,4
Juncus lescurii,23
Juncus longistylis,5
Juncus luciensis,2
Juncus mertensianus,48
Juncus mexicanus,28
Juncus nevadensis,62
Juncus occidentalis,47
Juncus orthophyllus,41
Juncus oxymeris,13
Juncus parryi,62
Juncus patens,97
Juncus phaeocephalus,28
Juncus planifolius,6
Juncus regelii,11
Juncus saximontanus,4
Juncus supiniformis,14
Juncus tenuis,36
Juncus tiehmii,3
Juncus torreyi,2
Juncus uncialis,5
Juncus usitatus,1
Juncus xiphioides,30
Luzula comosa,181
Luzula divaricata,30
Luzula glabrata,1
Luzula multiflora,1
Luzula parviflora,55
Luzula piperi,1
Luzula spicata,1
Luzula subcongesta,14
Luzula subsessilis,19
