binomial,count
Agastache parvifolia,23
Agastache urticifolia,82
Clinopodium douglasii,73
Galeopsis tetrahit,2
Glechoma hederacea,10
Lamiastrum galeobdolon,6
Lamium amplexicaule,19
Lamium purpureum,8
Lavandula stoechas,1
Lepechinia calycina,8
Lycopus americanus,6
Lycopus asper,3
Lycopus uniflorus,30
Marrubium vulgare,157
Melissa officinalis,17
Mentha aquatica,11
Mentha arvensis,20
Mentha canadensis,39
Mentha pulegium,236
Mentha spicata,44
Mentha suaveolens,4
Monardella breweri,8
Monardella nana,1
Monardella odoratissima,291
Monardella purpurea,35
Monardella sheltonii,24
Monardella villosa,127
Monardella viridis,3
Nepeta cataria,12
Origanum vulgare,1
Pogogyne douglasii,13
Pogogyne floribunda,64
Pogogyne serpylloides,8
Pogogyne zizyphoroides,9
Prunella vulgaris,227
Pycnanthemum californicum,29
Salvia aethiopis,173
Salvia columbariae,11
Salvia dorrii,46
Salvia mellifera,1
Salvia sonomensis,60
Salvia virgata,4
Scutellaria antirrhinoides,162
Scutellaria bolanderi,1
Scutellaria californica,79
Scutellaria galericulata,22
Scutellaria mexicana,1
Scutellaria nana,43
Scutellaria siphocampyloides,61
Scutellaria tuberosa,27
Stachys ajugoides,215
Stachys albens,7
Stachys arvensis,6
Stachys bergii,6
Stachys bullata,8
Stachys chamissonis,65
Stachys mexicana,13
Stachys pilosa,33
Stachys pycnantha,6
Stachys rigida,91
Stachys stricta,12
Teucrium fruticans,2
Trichostema lanatum,3
Trichostema lanceolatum,49
Trichostema laxum,99
Trichostema oblongum,40
Trichostema ovatum,1
Trichostema parishii,1
Trichostema simulatum,14
