binomial,count
Calochortus amabilis,42
Calochortus argillosus,1
Calochortus coeruleus,59
Calochortus elegans,37
Calochortus greenei,15
Calochortus leichtlinii,12
Calochortus longebarbatus,44
Calochortus luteus,7
Calochortus macrocarpus,29
Calochortus minimus,1
Calochortus monanthus,2
Calochortus nudus,40
Calochortus persistens,16
Calochortus pulchellus,2
Calochortus raichei,25
Calochortus splendens,8
Calochortus superbus,9
Calochortus syntrophus,9
Calochortus tolmiei,168
Calochortus umbellatus,4
Calochortus uniflorus,42
Calochortus venustus,2
Calochortus vestae,24
Clintonia andrewsiana,65
Clintonia uniflora,67
Erythronium californicum,92
Erythronium citrinum,92
Erythronium grandiflorum,44
Erythronium helenae,1
Erythronium hendersonii,11
Erythronium howellii,16
Erythronium klamathense,22
Erythronium multiscapideum,1
Erythronium oregonum,41
Erythronium purpurascens,5
Erythronium pusaterii,1
Erythronium revolutum,103
Erythronium shastense,18
Fritillaria affinis,89
Fritillaria agrestis,1
Fritillaria atropurpurea,54
Fritillaria biflora,4
Fritillaria eastwoodiae,10
Fritillaria gentneri,2
Fritillaria glauca,86
Fritillaria liliacea,1
Fritillaria micrantha,1
Fritillaria ojaiensis,1
Fritillaria pluriflora,3
Fritillaria pudica,41
Fritillaria purdyi,93
Fritillaria recurva,71
Fritillaria roderickii,9
Hyacinthus orientalis,1
Lilium bolanderi,131
Lilium columbianum,20
Lilium humboldtii,2
Lilium kelleyanum,59
Lilium kelloggii,68
Lilium maritimum,81
Lilium occidentale,45
Lilium pardalinum,212
Lilium parvum,1
Lilium rubescens,162
Lilium washingtonianum,110
Muscari botryoides,1
Prosartes hookeri,152
Prosartes parvifolia,9
Prosartes smithii,77
Scoliopus bigelovii,66
Streptopus amplexifolius,53
