Floerkea proserpinacoides	False mermaid	76 records (65 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes alba	White meadowfoam	111 records (81 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes alba ssp. alba	Typical white meadowfoam	90 records (79 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes alba ssp. versicolor	White meadowfoam	72 records (65 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes bakeri	Baker's meadowfoam	49 records (42 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes douglasii	Common meadow foam	107 records (85 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes douglasii ssp. douglasii	Snow white douglas' meadowfoam	77 records (54 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes douglasii ssp. nivea	Douglas' meadowfoam	134 records (109 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes douglasii ssp. ornduffii	Ornduff's meadowfoam	1 record		Annual herb	native	LIMNANTHACEAE
Limnanthes douglasii ssp. rosea	Rosy douglas' meadowfoam	204 records (164 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes douglasii ssp. striata	Foothill meadowfoam	76 records (68 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes douglasii ssp. sulphurea	Point reyes meadowfoam	19 records (16 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes floccosa	Woolly meadowfoam	7 records (4 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes floccosa ssp. bellingeriana	Bellinger's meadowfoam	11 records (4 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes floccosa ssp. californica	Butte county meadowfoam	69 records (56 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes floccosa ssp. floccosa	Woolly meadowfoam	112 records (63 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes macounii	Macoun's meadowfoam	3 records (3 CCH)		Annual herb	non-native	LIMNANTHACEAE
Limnanthes montana	Mountain meadowfoam	57 records (45 CCH)		Annual herb	native	LIMNANTHACEAE
Limnanthes vinculans	Sebastopol meadowfoam	47 records (34 CCH)		Annual herb	native	LIMNANTHACEAE
