Hesperolinon micranthum	Small flower western flax	445 records (340 CCH)		Annual herb	native	LINACEAE
Linum bienne	Flax	254 records (89 CCH)		Annual herb	non-native	LINACEAE
Hesperolinon disjunctum	Coast range western flax	192 records (123 CCH)		Annual herb	native	LINACEAE
Linum lewisii	Lewis' flax	180 records (125 CCH)		Perennial herb	native	LINACEAE
Hesperolinon californicum	California western flax	158 records (110 CCH)		Annual herb	native	LINACEAE
Hesperolinon congestum	Marin western flax	144 records (101 CCH)		Annual herb	native	LINACEAE
Hesperolinon bicarpellatum	Two carpellate western flax	131 records (104 CCH)		Annual herb	native	LINACEAE
Hesperolinon breweri	Brewer's western flax	108 records (52 CCH)		Annual herb	native	LINACEAE
Hesperolinon adenophyllum	Glandular western flax	105 records (72 CCH)		Annual herb	native	LINACEAE
Linum lewisii var. lewisii	Lewis' flax	91 records (77 CCH)		Perennial herb	native	LINACEAE
Hesperolinon spergulinum	Slender western flax	80 records (63 CCH)		Annual herb	native	LINACEAE
Hesperolinon tehamense	Tehama county western flax	79 records (66 CCH)		Annual herb	native	LINACEAE
Hesperolinon clevelandii	Allen springs western flax	71 records (57 CCH)		Annual herb	native	LINACEAE
Hesperolinon drymarioides	Drymaria like western flax	54 records (38 CCH)		Annual herb	native	LINACEAE
Linum usitatissimum	Common flax	42 records (25 CCH)		Annual herb	non-native	LINACEAE
Sclerolinon digynum	Digynum flax	35 records (29 CCH)		Annual herb	native	LINACEAE
Hesperolinon sharsmithiae	Sharsmith's western flax	25 records (12 CCH)		Annual herb	native	LINACEAE
Linum grandiflorum	Flowering flax	17 records (12 CCH)		Annual herb	non-native	LINACEAE
Linum perenne	Blue flax	7 records (2 CCH)		Perennial herb	non-native	LINACEAE
Hesperolinon didymocarpum	Lake county western flax	5 records (2 CCH)		Annual herb	native	LINACEAE
Linum trigynum	French flax	5 records (1 CCH)		Annual herb	non-native	LINACEAE
