Mentzelia dispersa	Scattered blazing star	396 records (303 CCH)		Annual herb	native	LOASACEAE
Mentzelia albicaulis	White stemmed blazing star	297 records (253 CCH)		Annual herb	native	LOASACEAE
Mentzelia veatchiana	Veatch's blazing star	293 records (276 CCH)		Annual herb	native	LOASACEAE
Mentzelia laevicaulis	Giant blazingstar	244 records (168 CCH)		Perennial herb	native	LOASACEAE
Mentzelia affinis	Yellow comet	210 records (158 CCH)		Annual herb	native	LOASACEAE
Mentzelia congesta	Clustered blazing star	183 records (157 CCH)		Annual herb	native	LOASACEAE
Mentzelia micrantha	Small flowered stickleaf	159 records (120 CCH)		Annual herb	native	LOASACEAE
Eucnide urens	Desert bush nettle	142 records (118 CCH)		Shrub	native	LOASACEAE
Mentzelia lindleyi	Lindley's blazing star	114 records (71 CCH)		Annual herb	native	LOASACEAE
Mentzelia pectinata	San joaquin blazing star	110 records (94 CCH)		Annual herb	native	LOASACEAE
Mentzelia montana	Mountain blazing star	109 records (98 CCH)		Annual herb	native	LOASACEAE
Petalonyx nitidus	Shiny leaf sandpaper plant	97 records (86 CCH)		Perennial herb	native	LOASACEAE
Mentzelia eremophila	Pinyon blazing star	93 records (80 CCH)		Annual, Perennial herb	native	LOASACEAE
Mentzelia gracilenta	Blazing star	86 records (56 CCH)		Annual herb	native	LOASACEAE
Mentzelia nitens	Shining blazing star	71 records (67 CCH)		Annual herb	native	LOASACEAE
Mentzelia torreyi	Torrey's blazing star	53 records (38 CCH)		Perennial herb	native	LOASACEAE
Petalonyx thurberi	Sandpaper plant	47 records (46 CCH)		Perennial herb	native	LOASACEAE
Mentzelia reflexa	Reflexed blazing star	41 records (34 CCH)		Annual herb	native	LOASACEAE
Mentzelia oreophila	Mountain loving blazing star	38 records (34 CCH)		Perennial herb	native	LOASACEAE
Petalonyx thurberi ssp. gilmanii	Death valley sandpaper plant	31 records (18 CCH)		Shrub	native	LOASACEAE
Mentzelia obscura	Pacific blazing star	30 records (27 CCH)		Annual herb	native	LOASACEAE
Petalonyx thurberi ssp. thurberi	Thurber's sandpaper plant	27 records (23 CCH)		Perennial herb	native	LOASACEAE
Mentzelia involucrata	Sand blazing star	21 records (18 CCH)		Annual herb	native	LOASACEAE
Mentzelia inyoensis	Inyo blazing star	20 records (11 CCH)		Annual herb	native	LOASACEAE
Mentzelia crocea	Saffron blazing star	18 records (11 CCH)		Annual, Perennial herb	native	LOASACEAE
Mentzelia jonesii	Jones' blazing star	17 records (17 CCH)		Annual herb, Vine	native	LOASACEAE
Mentzelia tridentata	Dentate blazing star	12 records (4 CCH)		Annual herb	native	LOASACEAE
Mentzelia monoensis	Mono craters blazing star	9 records (1 CCH)		Annual herb	native	LOASACEAE
Mentzelia tricuspis	Three pointed blazing star	4 records (2 CCH)		Annual herb	native	LOASACEAE
Mentzelia longiloba	Many flowered mentzelia	2 records (2 CCH)		Perennial herb	native	LOASACEAE
Mentzelia ravenii	Grass blazingstar	2 records (2 CCH)		Perennial herb	native	LOASACEAE
Eucnide rupestris	Rock nettle	2 records		Annual herb	native	LOASACEAE
Mentzelia polita	Elegant blazing star	2 records		Annual herb	native	LOASACEAE
Mentzelia desertorum	Desert blazing star	2 records (2 CCH)		Annual herb	native	LOASACEAE
