binomial,count
Fremontodendron californicum,19
Hibiscus lasiocarpos,3
Hibiscus trionum,1
Iliamna bakeri,108
Iliamna latibracteata,52
Iliamna rivularis,1
Malacothamnus fasciculatus,2
Malacothamnus fremontii,2
Malacothamnus mendocinensis,1
Malva arborea,5
Malva neglecta,20
Malva nicaeensis,12
Malva parviflora,9
Malva pseudolavatera,1
Malva sylvestris,3
Malvella leprosa,2
Modiola caroliniana,11
Sidalcea asprella,67
Sidalcea calycosa,21
Sidalcea celata,3
Sidalcea diploscypha,32
Sidalcea elegans,13
Sidalcea gigantea,3
Sidalcea glaucescens,23
Sidalcea hartwegii,16
Sidalcea hickmanii,6
Sidalcea hirsuta,2
Sidalcea malachroides,124
Sidalcea malviflora,132
Sidalcea oregana,278
Sidalcea setosa,1
Sphaeralcea ambigua,1
