binomial,count
Calandrinia breweri,3
Calandrinia menziesii,46
Calyptridium monandrum,2
Calyptridium monospermum,96
Calyptridium quadripetalum,24
Calyptridium umbellatum,93
Cistanthe maritima,1
Claytonia cordifolia,16
Claytonia exigua,52
Claytonia gypsophiloides,18
Claytonia lanceolata,77
Claytonia megarhiza,9
Claytonia nevadensis,1
Claytonia palustris,17
Claytonia parviflora,67
Claytonia perfoliata,104
Claytonia rubra,135
Claytonia saxosa,46
Claytonia sibirica,171
Claytonia umbellata,4
Claytonia washingtoniana,5
Lewisia Xwhiteae,2
Lewisia cantelovii,5
Lewisia columbiana,1
Lewisia cotyledon,154
Lewisia kelloggii,15
Lewisia leeana,47
Lewisia nevadensis,60
Lewisia oppositifolia,23
Lewisia pygmaea,3
Lewisia rediviva,26
Lewisia stebbinsii,14
Lewisia triphylla,44
Montia chamissoi,53
Montia dichotoma,11
Montia diffusa,17
Montia fontana,41
Montia howellii,54
Montia linearis,72
Montia parvifolia,80
