Abronia latifolia	Yellow sand verbena	322 records (185 CCH)		Perennial herb	native	NYCTAGINACEAE
Abronia pogonantha	Mohave sand verbena	263 records (90 CCH)		Annual herb	native	NYCTAGINACEAE
Abronia umbellata	Beach sand verbena	193 records (156 CCH)		Perennial herb	native	NYCTAGINACEAE
Mirabilis laevis var. villosa	Wishbone bush	179 records (73 CCH)		Perennial herb	native	NYCTAGINACEAE
Mirabilis laevis var. crassifolia	California four o'clock	154 records (124 CCH)		Perennial herb	native	NYCTAGINACEAE
Abronia maritima	Sticky sand verbena	96 records (74 CCH)		Perennial herb	native	NYCTAGINACEAE
Abronia turbinata	Trans montane sand verbena	80 records (70 CCH)		Annual herb	native	NYCTAGINACEAE
Mirabilis laevis var. retrorsa	Wishbone bush	69 records (65 CCH)		Perennial herb	native	NYCTAGINACEAE
Abronia umbellata var. umbellata	Beach sand verbena	61 records (31 CCH)		Perennial herb	native	NYCTAGINACEAE
Abronia umbellata var. breviflora	Pink sand-verbena	59 records (25 CCH)		Perennial herb	native	NYCTAGINACEAE
Anulocaulis annulatus	Ringstem	55 records (40 CCH)		Perennial herb	native	NYCTAGINACEAE
Mirabilis greenei	Greene's four o'clock	40 records (40 CCH)		Perennial herb	native	NYCTAGINACEAE
Mirabilis multiflora var. pubescens	Desert four o'clock	37 records (33 CCH)		Perennial herb	native	NYCTAGINACEAE
Mirabilis multiflora	Giant four o'clock	33 records (27 CCH)		Perennial herb	native	NYCTAGINACEAE
Abronia villosa	Hairy sand verbena	28 records (25 CCH)		Annual herb	native	NYCTAGINACEAE
Mirabilis jalapa	Wishbone bush	25 records (22 CCH)		Perennial herb	non-native	NYCTAGINACEAE
Abronia nana var. covillei	Coville's dwarf sand verbena	24 records (14 CCH)		Perennial herb	native	NYCTAGINACEAE
Mirabilis multiflora var. glandulosa	Giant four o'clock	24 records (23 CCH)		Perennial herb	native	NYCTAGINACEAE
Mirabilis alipes	Winged four o'clock	23 records (20 CCH)		Perennial herb	native	NYCTAGINACEAE
Abronia alpina	Ramshaw meadows abronia	22 records (20 CCH)		Perennial herb	native	NYCTAGINACEAE
Allionia incarnata	Windmills	11 records (6 CCH)		Perennial herb	native	NYCTAGINACEAE
Mirabilis laevis	Desert wishbone bush	11 records (10 CCH)		Perennial herb	native	NYCTAGINACEAE
Abronia villosa var. villosa	Hairy sand verbena	9 records (7 CCH)		Annual herb	native	NYCTAGINACEAE
Boerhavia coccinea	Red boerhaavia	8 records (8 CCH)		Perennial herb	native	NYCTAGINACEAE
Abronia nana	Dwarf sand verbena	7 records (7 CCH)		Perennial herb	native	NYCTAGINACEAE
Mirabilis albida	Dwarf four o'clock	6 records (6 CCH)		Perennial herb	native	NYCTAGINACEAE
Boerhavia wrightii	Wright's boerhavia	3 records (2 CCH)		Annual herb	native	NYCTAGINACEAE
Boerhavia diffusa	Red spiderling	3 records (3 CCH)		Perennial herb	non-native	NYCTAGINACEAE
Bougainvillea spectabilis	Great bougainvillea	2 records (1 CCH)		Shrub	non-native	NYCTAGINACEAE
Tripterocalyx crux-maltae	Lassen sand verbena	2 records		Annual herb	native	NYCTAGINACEAE
Mirabilis jalapa var. jalapa	Wishbone bush	1 record (1 CCH)		Perennial herb	non-native	NYCTAGINACEAE
