Fraxinus latifolia	Oregon ash	1191 records (450 CCH)		Tree	native	OLEACEAE
Olea europaea	Olive	489 records (52 CCH)		Tree, Shrub	invasive non-native	OLEACEAE
Fraxinus dipetala	Two petaled ash	489 records (318 CCH)		Tree, Shrub	native	OLEACEAE
Forestiera pubescens	Desert olive	215 records (149 CCH)		Shrub	native	OLEACEAE
Menodora spinescens	Spiny desert olive	125 records (69 CCH)		Shrub	native	OLEACEAE
Fraxinus velutina	Arizona ash	99 records (91 CCH)		Tree	native	OLEACEAE
Ligustrum lucidum	Glossy privet	50 records (7 CCH)		Tree, Shrub	invasive non-native	OLEACEAE
Ligustrum ovalifolium	California privet	29 records (7 CCH)		Tree, Shrub	non-native	OLEACEAE
Menodora spinescens var. spinescens	Spiny desert olive	21 records (15 CCH)		Shrub	native	OLEACEAE
Fraxinus anomala	Single leaved ash	15 records (15 CCH)		Tree, Shrub	native	OLEACEAE
Ligustrum vulgare	European privet	12 records (8 CCH)		Tree, Shrub	non-native	OLEACEAE
Ligustrum japonicum	Japanese privet	11 records (5 CCH)		Tree, Shrub	non-native	OLEACEAE
Ligustrum sinense	Chinese privet	7 records (5 CCH)		Tree, Shrub	non-native	OLEACEAE
Fraxinus uhdei	Shamel ash	4 records (4 CCH)		Tree	invasive non-native	OLEACEAE
Jasminum multiflorum	Star jasmine	1 record		Vine, Shrub	non-native	OLEACEAE
Menodora spinescens var. mohavensis	Mojave menodora	1 record		Shrub	native	OLEACEAE
