binomial,count
Camissonia contorta,39
Camissonia parvula,1
Camissonia pubens,1
Camissonia strigulosa,3
Camissoniopsis cheiranthifolia,107
Camissoniopsis hirtella,11
Camissoniopsis intermedia,2
Camissoniopsis micrantha,1
Chamerion angustifolium,185
Chamerion latifolium,2
Circaea alpina,76
Clarkia affinis,2
Clarkia amoena,152
Clarkia arcuata,2
Clarkia borealis,65
Clarkia bottae,1
Clarkia concinna,78
Clarkia davyi,26
Clarkia dudleyana,1
Clarkia gracilis,92
Clarkia heterandra,3
Clarkia lassenensis,56
Clarkia modesta,14
Clarkia purpurea,111
Clarkia rhomboidea,155
Clarkia rubicunda,4
Clarkia stellata,3
Clarkia unguiculata,3
Epilobium anagallidifolium,7
Epilobium brachycarpum,151
Epilobium campestre,60
Epilobium canum,91
Epilobium ciliatum,306
Epilobium clavatum,5
Epilobium densiflorum,85
Epilobium foliosum,13
Epilobium glaberrimum,48
Epilobium hallianum,69
Epilobium hornemannii,25
Epilobium lactiflorum,8
Epilobium luteum,10
Epilobium minutum,226
Epilobium nivium,28
Epilobium obcordatum,19
Epilobium oreganum,75
Epilobium oregonense,20
Epilobium pallidum,19
Epilobium palustre,4
Epilobium rigidum,48
Epilobium saximontanum,1
Epilobium septentrionale,59
Epilobium siskiyouense,68
Epilobium torreyi,24
Eulobus californicus,1
Fuchsia boliviana,1
Fuchsia magellanica,6
Gayophytum decipiens,6
Gayophytum diffusum,119
Gayophytum heterozygum,62
Gayophytum humile,54
Gayophytum racemosum,22
Gayophytum ramosissimum,13
Ludwigia hexapetala,11
Ludwigia palustris,13
Ludwigia peploides,15
Neoholmgrenia andina,17
Oenothera caespitosa,1
Oenothera cespitosa,2
Oenothera elata,20
Oenothera flava,5
Oenothera glazioviana,12
Oenothera villosa,6
Oenothera wolfii,67
Taraxia ovata,17
Taraxia subacaulis,22
Taraxia tanacetifolia,58
Tetrapteron graciliflorum,9
