binomial,count
Calypso bulbosa,111
Cephalanthera austiniae,75
Corallorhiza maculata,116
Corallorhiza mertensiana,53
Corallorhiza striata,25
Corallorhiza trifida,1
Cypripedium californicum,185
Cypripedium fasciculatum,100
Cypripedium montanum,141
Epipactis gigantea,53
Epipactis helleborine,4
Goodyera oblongifolia,119
Listera banksiana,24
Listera convallarioides,47
Listera cordata,84
Piperia candida,79
Piperia colemanii,5
Piperia elegans,34
Piperia elongata,20
Piperia leptopetala,4
Piperia michaelii,1
Piperia transversa,36
Piperia unalascensis,45
Platanthera dilatata,134
Platanthera sparsiflora,70
Platanthera stricta,33
Platanthera tescamnis,7
Spiranthes porrifolia,33
Spiranthes romanzoffiana,62
