binomial,count
Bellardia trixago,4
Castilleja affinis,131
Castilleja ambigua,63
Castilleja applegatei,521
Castilleja arachnoidea,129
Castilleja attenuata,55
Castilleja brevilobata,77
Castilleja brevistyla,1
Castilleja campestris,17
Castilleja chromosa,12
Castilleja densiflora,7
Castilleja elata,11
Castilleja exserta,39
Castilleja foliolosa,21
Castilleja gleasoni,3
Castilleja lacera,85
Castilleja latifolia,15
Castilleja lemmonii,1
Castilleja linariifolia,10
Castilleja lineariloba,2
Castilleja litoralis,29
Castilleja mendocinensis,124
Castilleja miniata,220
Castilleja minor,2
Castilleja peirsonii,1
Castilleja pilosa,68
Castilleja pruinosa,120
Castilleja rubicundula,41
Castilleja schizotricha,41
Castilleja subinclusa,27
Castilleja tenuis,78
Castilleja uliginosa,1
Castilleja wightii,76
Chloropyron maritimum,38
Cordylanthus capitatus,12
Cordylanthus pilosus,29
Cordylanthus pringlei,30
Cordylanthus ramosus,3
Cordylanthus tenuis,190
Kopsiopsis hookeri,20
Kopsiopsis strobilacea,70
Orobanche bulbosa,3
Orobanche californica,25
Orobanche corymbosa,13
Orobanche fasciculata,53
Orobanche pinorum,9
Orobanche uniflora,58
Orobanche valida,7
Orobanche vallicola,1
Orthocarpus bracteosus,1
Orthocarpus cuspidatus,117
Orthocarpus imbricatus,32
Orthocarpus luteus,3
Orthocarpus pachystachyus,11
Parentucellia viscosa,119
Pedicularis attollens,28
Pedicularis bracteosa,45
Pedicularis contorta,39
Pedicularis densiflora,119
Pedicularis groenlandica,15
Pedicularis howellii,29
Pedicularis racemosa,42
Pedicularis semibarbata,28
Triphysaria eriantha,67
Triphysaria pusilla,38
Triphysaria versicolor,67
