binomial,count
Erythranthe taylorii,23
Erythranthe trinitiensis,10
Mimulus alsinoides,8
Mimulus androsaceus,1
Mimulus angustatus,2
Mimulus aurantiacus,215
Mimulus bicolor,14
Mimulus bolanderi,16
Mimulus breviflorus,10
Mimulus breweri,85
Mimulus cardinalis,41
Mimulus congdonii,5
Mimulus cusickii,9
Mimulus dentatus,25
Mimulus douglasii,18
Mimulus evanescens,23
Mimulus floribundus,21
Mimulus guttatus,258
Mimulus kelloggii,40
Mimulus latidens,3
Mimulus layneae,100
Mimulus leptaleus,1
Mimulus lewisii,12
Mimulus microphyllus,47
Mimulus montioides,1
Mimulus moschatus,165
Mimulus nanus,129
Mimulus nudatus,7
Mimulus pilosus,33
Mimulus primuloides,93
Mimulus pulchellus,1
Mimulus pulsiferae,41
Mimulus pygmaeus,31
Mimulus rattanii,3
Mimulus rubellus,4
Mimulus suksdorfii,8
Mimulus tilingii,13
Mimulus torreyi,10
Mimulus tricolor,18
