binomial,count
Abies amabilis,20
Abies concolor,229
Abies grandis,150
Abies lasiocarpa,36
Abies magnifica,118
Abies procera,44
Cedrus deodara,1
Picea breweriana,156
Picea engelmannii,32
Picea sitchensis,143
Pinus albicaulis,76
Pinus attenuata,181
Pinus balfouriana,80
Pinus contorta,460
Pinus coulteri,1
Pinus jeffreyi,167
Pinus lambertiana,196
Pinus monticola,167
Pinus muricata,280
Pinus ponderosa,217
Pinus radiata,132
Pinus sabiniana,83
Pseudotsuga menziesii,694
Tsuga heterophylla,138
Tsuga mertensiana,83
