binomial,count
Antirrhinum cornutum,12
Antirrhinum subcordatum,35
Antirrhinum vexillocalyculatum,84
Antirrhinum virga,22
Bacopa repens,1
Bacopa rotundifolia,1
Callitriche fassettii,9
Callitriche heterophylla,21
Callitriche marginata,8
Callitriche palustris,32
Callitriche stagnalis,6
Callitriche trochlearis,6
Collinsia bartsiifolia,2
Collinsia concolor,1
Collinsia corymbosa,42
Collinsia grandiflora,34
Collinsia greenei,111
Collinsia heterophylla,19
Collinsia linearis,70
Collinsia parviflora,169
Collinsia rattanii,83
Collinsia sparsiflora,56
Collinsia tinctoria,12
Collinsia torreyi,104
Cymbalaria muralis,1
Digitalis purpurea,346
Gratiola ebracteata,33
Gratiola heterosepala,37
Gratiola neglecta,14
Hippuris vulgaris,31
Keckiella breviflora,13
Keckiella corymbosa,235
Keckiella lemmonii,143
Kickxia elatine,15
Kickxia spuria,2
Linaria dalmatica,506
Linaria genistifolia,94
Linaria vulgaris,11
Lindernia dubia,3
Nothochelone nemorosa,47
Nuttallanthus texanus,12
Penstemon anguineus,155
Penstemon azureus,78
Penstemon centranthifolius,1
Penstemon cinereus,28
Penstemon cinicola,26
Penstemon davidsonii,99
Penstemon deustus,172
Penstemon filiformis,59
Penstemon gracilentus,75
Penstemon heterodoxus,58
Penstemon heterophyllus,76
Penstemon humilis,20
Penstemon janishiae,12
Penstemon laetus,124
Penstemon neotericus,8
Penstemon newberryi,203
Penstemon parvulus,75
Penstemon procerus,57
Penstemon purpusii,70
Penstemon rattanii,13
Penstemon roezlii,94
Penstemon rupicola,52
Penstemon rydbergii,102
Penstemon speciosus,77
Penstemon sudans,4
Penstemon tracyi,19
Plantago aristata,1
Plantago coronopus,17
Plantago elongata,5
Plantago erecta,68
Plantago eriopoda,14
Plantago lanceolata,488
Plantago major,31
Plantago maritima,45
Plantago subnuda,31
Plantago virginica,1
Synthyris cordata,10
Synthyris missurica,36
Synthyris reniformis,42
Tonella tenella,67
Veronica americana,128
Veronica anagallis-aquatica,17
Veronica arvensis,29
Veronica catenata,17
Veronica copelandii,52
Veronica cusickii,4
Veronica filiformis,1
Veronica hederifolia,1
Veronica peregrina,75
Veronica persica,14
Veronica scutellata,38
Veronica serpyllifolia,74
Veronica triphyllos,6
Veronica wormskjoldii,25
