binomial,count
Aegilops cylindrica,93
Aegilops geniculata,17
Aegilops neglecta,3
Aegilops triuncialis,124
Agropyron cristatum,26
Agrostis blasdalei,47
Agrostis capillaris,55
Agrostis castellana,1
Agrostis densiflora,70
Agrostis elliottiana,1
Agrostis exarata,376
Agrostis gigantea,63
Agrostis hallii,150
Agrostis humilis,74
Agrostis idahoensis,55
Agrostis microphylla,38
Agrostis oregonensis,38
Agrostis pallens,165
Agrostis perennans,1
Agrostis scabra,61
Agrostis stolonifera,204
Agrostis variabilis,79
Aira caryophyllea,235
Aira elegans,5
Aira praecox,66
Alopecurus aequalis,91
Alopecurus carolinianus,8
Alopecurus geniculatus,86
Alopecurus pratensis,35
Alopecurus saccatus,27
Ammophila arenaria,699
Andropogon glomeratus,3
Andropogon virginicus,3
Anthoxanthum aristatum,10
Anthoxanthum nitens,9
Anthoxanthum occidentale,146
Anthoxanthum odoratum,233
Apera interrupta,31
Aristida oligantha,14
Aristida ternipes,1
Arrhenatherum elatius,58
Arundo donax,179
Avena barbata,364
Avena fatua,72
Avena sativa,16
Avena strigosa,1
Beckmannia syzigachne,75
Bothriochloa ischaemum,1
Brachypodium distachyon,27
Brachypodium phoenicoides,2
Brachypodium sylvaticum,1
Briza maxima,342
Briza minor,125
Bromus arenarius,5
Bromus arvensis,1
Bromus berteroanus,2
Bromus briziformis,32
Bromus carinatus,402
Bromus catharticus,10
Bromus ciliatus,6
Bromus commutatus,60
Bromus diandrus,468
Bromus hordeaceus,574
Bromus inermis,18
Bromus japonicus,135
Bromus laevipes,120
Bromus madritensis,112
Bromus maritimus,23
Bromus orcuttianus,105
Bromus porteri,2
Bromus pseudolaevipes,8
Bromus racemosus,25
Bromus secalinus,12
Bromus sitchensis,1
Bromus sterilis,38
Bromus suksdorfii,46
Bromus tectorum,616
Bromus vulgaris,129
Calamagrostis bolanderi,81
Calamagrostis breweri,22
Calamagrostis canadensis,46
Calamagrostis crassiglumis,15
Calamagrostis foliosa,56
Calamagrostis koelerioides,160
Calamagrostis nutkaensis,145
Calamagrostis ophitidis,9
Calamagrostis purpurascens,5
Calamagrostis rubescens,14
Calamagrostis stricta,16
Chloris virgata,1
Cinna latifolia,34
Cortaderia jubata,413
Cortaderia selloana,82
Crypsis alopecuroides,15
Crypsis schoenoides,25
Crypsis vaginiflora,16
Cynodon dactylon,144
Cynodon transvaalensis,1
Cynosurus cristatus,27
Cynosurus echinatus,403
Dactylis glomerata,397
Danthonia californica,388
Danthonia decumbens,2
Danthonia intermedia,40
Danthonia unispicata,129
Deschampsia cespitosa,242
Deschampsia danthonioides,181
