binomial,count
Aliciella leptomeria,2
Allophyllum divaricatum,24
Allophyllum gilioides,23
Allophyllum integrifolium,4
Collomia diversifolia,27
Collomia grandiflora,148
Collomia heterophylla,145
Collomia larsenii,6
Collomia linearis,28
Collomia tenella,2
Collomia tinctoria,113
Collomia tracyi,219
Eriastrum brandegeeae,14
Eriastrum signatum,7
Eriastrum sparsiflorum,3
Eriastrum tracyi,25
Eriastrum wilcoxii,2
Gilia achilleifolia,2
Gilia brecciarum,3
Gilia capitata,285
Gilia clivorum,2
Gilia inconspicua,3
Gilia millefoliata,109
Gilia modocensis,2
Gilia salticola,1
Gilia sinuata,1
Gilia tricolor,30
Gymnosteris parvula,3
Ipomopsis aggregata,104
Ipomopsis arizonica,1
Ipomopsis congesta,44
Ipomopsis tenuifolia,1
Ipomopsis tenuituba,2
Lathrocasis tenerrima,2
Leptosiphon acicularis,37
Leptosiphon ambiguus,2
Leptosiphon androsaceus,39
Leptosiphon bicolor,44
Leptosiphon bolanderi,84
Leptosiphon ciliatus,72
Leptosiphon croceus,1
Leptosiphon filipes,8
Leptosiphon grandiflorus,2
Leptosiphon harknessii,78
Leptosiphon jepsonii,3
Leptosiphon latisectus,61
Leptosiphon nuttallii,30
Leptosiphon parviflorus,21
Leptosiphon pygmaeus,3
Leptosiphon rattanii,58
Leptosiphon rosaceus,1
Leptosiphon septentrionalis,5
Linanthus californicus,1
Linanthus dichotomus,11
Linanthus pungens,29
Microsteris gracilis,155
Navarretia atractyloides,8
Navarretia breweri,30
Navarretia capillaris,47
Navarretia divaricata,93
Navarretia filicaulis,2
Navarretia heterandra,14
Navarretia intertexta,110
Navarretia jepsonii,10
Navarretia leptalea,24
Navarretia leucocephala,99
Navarretia linearifolia,109
Navarretia mellita,25
Navarretia propinqua,42
Navarretia pubescens,18
Navarretia sinistra,37
Navarretia squarrosa,75
Navarretia subuligera,5
Navarretia tagetina,23
Navarretia viscidula,16
Phlox adsurgens,37
Phlox austromontana,6
Phlox caespitosa,21
Phlox diffusa,141
Phlox dispersa,1
Phlox douglasii,57
Phlox hirsuta,19
Phlox hoodii,19
Phlox longifolia,1
Phlox muscoides,14
Phlox pulvinata,1
Phlox speciosa,105
Phlox stansburyi,19
Polemonium californicum,20
Polemonium carneum,56
Polemonium chartaceum,6
Polemonium eddyense,6
Polemonium micranthum,28
Polemonium occidentale,15
Polemonium pulcherrimum,36
