binomial,count
Aconogonon davisiae,78
Aconogonon newberryi,12
Aconogonon phytolaccifolium,36
Bistorta bistortoides,91
Chorizanthe clevelandii,1
Chorizanthe cuspidata,2
Chorizanthe douglasii,1
Chorizanthe howellii,40
Chorizanthe membranacea,13
Chorizanthe polygonoides,4
Chorizanthe uniaristata,1
Chorizanthe valida,2
Eriogonum alpinum,19
Eriogonum baileyi,2
Eriogonum caespitosum,5
Eriogonum cedrorum,12
Eriogonum compositum,133
Eriogonum congdonii,79
Eriogonum covilleanum,3
Eriogonum dasyanthemum,35
Eriogonum diclinum,45
Eriogonum douglasii,16
Eriogonum elatum,53
Eriogonum fasciculatum,13
Eriogonum heracleoides,32
Eriogonum hirtellum,22
Eriogonum hirtiflorum,11
Eriogonum incanum,2
Eriogonum intrafractum,1
Eriogonum kelloggii,20
Eriogonum latifolium,135
Eriogonum libertini,80
Eriogonum lobbii,34
Eriogonum luteolum,134
Eriogonum maculatum,1
Eriogonum marifolium,110
Eriogonum microthecum,19
Eriogonum nervulosum,22
Eriogonum nudum,346
Eriogonum nutans,1
Eriogonum ovalifolium,25
Eriogonum parvifolium,1
Eriogonum pendulum,11
Eriogonum prociduum,37
Eriogonum pyrolifolium,43
Eriogonum roseum,9
Eriogonum siskiyouense,63
Eriogonum spergulinum,36
Eriogonum sphaerocephalum,140
Eriogonum strictum,133
Eriogonum ternatum,97
Eriogonum tripodum,19
Eriogonum umbellatum,672
Eriogonum ursinum,37
Eriogonum vimineum,84
Eriogonum wrightii,5
Fagopyrum esculentum,1
Fallopia Xbohemica,2
Fallopia baldschuanica,2
Fallopia convolvulus,16
Fallopia japonica,52
Fallopia sachalinensis,73
Muehlenbeckia complexa,6
Oxyria digyna,22
Persicaria amphibia,42
Persicaria capitata,1
Persicaria hydropiper,12
Persicaria hydropiperoides,6
Persicaria lapathifolia,27
Persicaria maculosa,45
Persicaria pensylvanica,1
Persicaria punctata,15
Persicaria wallichii,87
Polygonum argyrocoleon,2
Polygonum austiniae,5
Polygonum aviculare,81
Polygonum bidwelliae,10
Polygonum bolanderi,6
Polygonum californicum,16
Polygonum douglasii,135
Polygonum fowleri,1
Polygonum majus,16
Polygonum minimum,42
Polygonum paronychia,127
Polygonum parryi,12
Polygonum polygaloides,190
Polygonum ramosissimum,2
Polygonum sawatchense,43
Polygonum shastense,54
Polygonum spergulariiforme,108
Pterostegia drymarioides,14
Rumex acetosella,530
Rumex californicus,24
Rumex conglomeratus,41
Rumex crassus,22
Rumex crispus,381
Rumex fueginus,24
Rumex lacustris,16
Rumex obtusifolius,35
Rumex occidentalis,28
Rumex paucifolius,10
Rumex persicarioides,1
Rumex pulcher,15
Rumex salicifolius,54
Rumex stenophyllus,3
Rumex transitorius,10
Rumex triangulivalvis,22
Rumex venosus,1
