binomial,count
Aconitum columbianum,110
Actaea rubra,82
Adonis aestivalis,24
Anemone deltoidea,95
Anemone drummondii,49
Anemone grayi,5
Anemone lyallii,8
Anemone multifida,7
Anemone occidentalis,32
Anemone oregana,47
Aquilegia eximia,13
Aquilegia formosa,203
Caltha leptosepala,118
Caltha palustris,2
Clematis lasiantha,49
Clematis ligusticifolia,113
Consolida ajacis,1
Coptis laciniata,83
Delphinium andersonii,34
Delphinium antoninum,20
Delphinium bakeri,1
Delphinium cardinale,4
Delphinium decorum,93
Delphinium depauperatum,23
Delphinium glaucum,23
Delphinium gracilentum,2
Delphinium hansenii,1
Delphinium hesperium,27
Delphinium nudicaule,151
Delphinium nuttallianum,129
Delphinium patens,8
Delphinium polycladon,1
Delphinium stachydeum,22
Delphinium trolliifolium,28
Delphinium uliginosum,3
Delphinium variegatum,15
Enemion stipitatum,22
Myosurus apetalus,16
Myosurus minimus,54
Myosurus sessilis,2
Ranunculus acris,1
Ranunculus alismifolius,55
Ranunculus andersonii,6
Ranunculus aquatilis,98
Ranunculus arvensis,9
Ranunculus bulbosus,2
Ranunculus californicus,82
Ranunculus canus,2
Ranunculus cymbalaria,15
Ranunculus eschscholtzii,23
Ranunculus flabellaris,7
Ranunculus flammula,35
Ranunculus glaberrimus,28
Ranunculus gormanii,8
Ranunculus hebecarpus,11
Ranunculus lobbii,6
Ranunculus macounii,6
Ranunculus muricatus,20
Ranunculus occidentalis,210
Ranunculus orthorhynchus,76
Ranunculus parviflorus,17
Ranunculus populago,6
Ranunculus pusillus,4
Ranunculus repens,98
Ranunculus sardous,5
Ranunculus sceleratus,12
Ranunculus testiculatus,13
Ranunculus uncinatus,82
Thalictrum fendleri,54
Thalictrum occidentale,3
Thalictrum sparsiflorum,1
Trautvetteria caroliniensis,16
