binomial,count
Ceanothus Xlorenzenii,1
Ceanothus arcuatus,34
Ceanothus confusus,2
Ceanothus cordulatus,145
Ceanothus cuneatus,287
Ceanothus diversifolius,16
Ceanothus foliosus,153
Ceanothus gloriosus,143
Ceanothus incanus,116
Ceanothus integerrimus,480
Ceanothus jepsonii,64
Ceanothus lemmonii,99
Ceanothus leucodermis,3
Ceanothus masonii,1
Ceanothus oliganthus,49
Ceanothus papillosus,1
Ceanothus parryi,105
Ceanothus parvifolius,3
Ceanothus pinetorum,25
Ceanothus prostratus,279
Ceanothus pumilus,199
Ceanothus purpureus,7
Ceanothus sanguineus,24
Ceanothus thyrsiflorus,292
Ceanothus tomentosus,1
Ceanothus velutinus,356
Ceanothus vestitus,1
Frangula californica,637
Frangula purshiana,338
Frangula rubra,109
Rhamnus alnifolia,1
Rhamnus crocea,7
Rhamnus ilicifolia,63
Ziziphus obtusifolia,1
