binomial,count
Acaena novae-zelandiae,30
Acaena pinnatifida,8
Adenostoma fasciculatum,84
Agrimonia gryposepala,8
Amelanchier alnifolia,236
Amelanchier pallida,169
Amelanchier utahensis,258
Aphanes occidentalis,33
Aruncus dioicus,63
Cercocarpus betuloides,247
Cercocarpus ledifolius,158
Chamaebatia foliolosa,6
Chamaebatiaria millefolium,50
Comarum palustre,25
Cotoneaster franchetii,43
Cotoneaster horizontalis,2
Cotoneaster integrifolius,1
Cotoneaster lacteus,32
Cotoneaster pannosus,55
Cotoneaster simonsii,9
Crataegus castlegarensis,17
Crataegus douglasii,48
Crataegus gaylussacia,36
Crataegus monogyna,8
Dasiphora fruticosa,57
Drymocallis glandulosa,165
Drymocallis hansenii,3
Drymocallis lactea,99
Drymocallis pseudorupestris,23
Drymocallis rhomboidea,18
Fragaria chiloensis,76
Fragaria vesca,104
Fragaria virginiana,24
Geum aleppicum,9
Geum macrophyllum,49
Geum triflorum,60
Heteromeles arbutifolia,166
Holodiscus discolor,622
Horkelia bolanderi,2
Horkelia californica,59
Horkelia congesta,2
Horkelia daucifolia,39
Horkelia fusca,61
Horkelia hendersonii,8
Horkelia marinensis,39
Horkelia sericata,112
Horkelia tenuiloba,20
Horkelia tridentata,113
Ivesia baileyi,8
Ivesia gordonii,61
Ivesia longibracteata,8
Ivesia paniculata,26
Ivesia pickeringii,42
Ivesia shockleyi,1
Luetkea pectinata,89
Malus fusca,74
Malus pumila,32
Neviusia cliftonii,60
Oemleria cerasiformis,177
Peraphyllum ramosissimum,33
Physocarpus capitatus,208
Potentilla anglica,1
Potentilla anserina,71
Potentilla basaltica,6
Potentilla biennis,14
Potentilla breweri,64
Potentilla bruceae,10
Potentilla cristae,24
Potentilla drummondii,26
Potentilla flabellifolia,23
Potentilla glaucophylla,3
Potentilla gracilis,155
Potentilla millefolia,38
Potentilla newberryi,38
Potentilla norvegica,1
Potentilla recta,19
Potentilla rivalis,18
Potentilla wheeleri,1
Poteridium annuum,47
Poterium sanguisorba,7
Prunus andersonii,3
Prunus avium,5
Prunus cerasifera,25
Prunus domestica,1
Prunus emarginata,347
Prunus laurocerasus,2
Prunus persica,2
Prunus subcordata,111
Prunus virginiana,281
Purshia tridentata,168
Pyracantha angustifolia,15
Pyracantha fortuneana,1
Pyracantha koidzumii,2
Pyrus communis,3
Rosa bridgesii,10
Rosa californica,87
Rosa canina,18
Rosa gymnocarpa,475
Rosa multiflora,3
Rosa nutkana,148
Rosa pinetorum,7
Rosa pisocarpa,206
Rosa rubiginosa,87
Rosa spithamea,45
Rosa woodsii,103
Rubus allegheniensis,1
Rubus armeniacus,2927
Rubus glaucifolius,26
Rubus laciniatus,137
Rubus lasiococcus,46
Rubus leucodermis,223
Rubus nivalis,6
Rubus parviflorus,340
Rubus pensilvanicus,1
Rubus spectabilis,191
Rubus ulmifolius,3
Rubus ursinus,426
Sanguisorba minor,9
Sanguisorba officinalis,35
Sibbaldia procumbens,24
Sorbus aucuparia,1
Sorbus californica,67
Sorbus scopulina,114
Sorbus sitchensis,9
Spiraea douglasii,188
Spiraea splendens,113
