binomial,count
Cephalanthus occidentalis,5
Crucianella angustifolia,5
Galium ambiguum,122
Galium andrewsii,15
Galium aparine,179
Galium bifolium,44
Galium bolanderi,148
Galium boreale,18
Galium californicum,107
Galium divaricatum,15
Galium glabrescens,58
Galium grayanum,72
Galium hypotrichium,1
Galium mexicanum,23
Galium mollugo,1
Galium multiflorum,2
Galium murale,6
Galium muricatum,29
Galium nuttallii,3
Galium oreganum,5
Galium parisiense,85
Galium porrigens,87
Galium serpenticum,59
Galium sparsiflorum,19
Galium trifidum,72
Galium triflorum,124
Kelloggia galioides,161
Sherardia arvensis,51
