binomial,count
Populus alba,5
Populus fremontii,28
Populus nigra,1
Populus tremuloides,56
Populus trichocarpa,132
Salix alba,3
Salix babylonica,1
Salix bebbiana,10
Salix boothii,26
Salix breweri,18
Salix delnortensis,97
Salix eastwoodiae,98
Salix exigua,238
Salix geyeriana,4
Salix gooddingii,9
Salix hookeriana,384
Salix jepsonii,20
Salix laevigata,74
Salix lasiandra,394
Salix lasiolepis,596
Salix lemmonii,65
Salix ligulifolia,4
Salix lutea,15
Salix melanopsis,275
Salix orestera,4
Salix petrophila,2
Salix planifolia,1
Salix prolixa,5
Salix purpurea,3
Salix scouleriana,357
Salix sessilifolia,16
Salix sitchensis,329
Salix tracyi,49
