Aesculus californica	Buckeye	1583 records (541 CCH)		Tree	native	SAPINDACEAE
Acer macrophyllum	Bigleaf maple	1311 records (746 CCH)		Tree	native	SAPINDACEAE
Acer negundo	Boxelder	1128 records (373 CCH)		Tree	native	SAPINDACEAE
Acer glabrum var. glabrum	Rocky mountain maple	440 records (389 CCH)		Tree, Shrub	native	SAPINDACEAE
Acer circinatum	Vine maple	257 records (219 CCH)		Tree, Shrub	native	SAPINDACEAE
Acer glabrum	Mountain maple	122 records (95 CCH)		Tree, Shrub	native	SAPINDACEAE
Acer glabrum var. diffusum	Mountain maple	74 records (67 CCH)		Tree, Shrub	native	SAPINDACEAE
Acer saccharinum	Silver maple	44 records (19 CCH)		Tree	non-native	SAPINDACEAE
Koelreuteria paniculata	Goldenrain tree	7 records (4 CCH)		Tree	non-native	SAPINDACEAE
Acer campestre	Hedge maple	4 records (3 CCH)		Tree, Shrub	non-native	SAPINDACEAE
Cupaniopsis anacardioides	Carrotwood	3 records (3 CCH)		Tree	non-native	SAPINDACEAE
Dodonaea viscosa	Florida hopbush	2 records		Tree, Shrub	non-native	SAPINDACEAE
Acer platanoides	Norway maple	1 record (1 CCH)		Tree, Shrub	non-native	SAPINDACEAE
Acer glabrum var. douglasii	Douglas maple	1 record (1 CCH)		Tree, Shrub	native	SAPINDACEAE
