binomial,count
Bensoniella oregona,30
Boykinia major,67
Boykinia occidentalis,90
Cascadia nuttallii,4
Chrysosplenium glechomifolium,42
Darmera peltata,39
Hemieva ranunculifolia,32
Heuchera cylindrica,33
Heuchera merriamii,58
Heuchera micrantha,128
Heuchera parvifolia,1
Heuchera pilosissima,25
Heuchera rubescens,32
Lithophragma affine,38
Lithophragma bolanderi,2
Lithophragma campanulatum,53
Lithophragma glabrum,58
Lithophragma heterophyllum,33
Lithophragma parviflorum,38
Lithophragma tenellum,25
Micranthes aprica,32
Micranthes bryophora,6
Micranthes californica,54
Micranthes ferruginea,45
Micranthes fragosa,10
Micranthes howellii,33
Micranthes integrifolia,19
Micranthes marshallii,29
Micranthes nidifica,49
Micranthes odontoloma,37
Micranthes oregana,35
Micranthes tolmiei,17
Mitellastra caulescens,99
Ozomelis diversifolia,20
Ozomelis trifida,26
Pectiantia breweri,2
Pectiantia ovalis,34
Pectiantia pentandra,43
Saxifraga cespitosa,7
Saxifraga mertensiana,85
Saxifraga rufidula,1
Saxifragopsis fragarioides,79
Tellima grandiflora,89
Tiarella trifoliata,141
Tolmiea diplomenziesii,29
Tolmiea menziesii,41
