Buddleja davidii	Butterfly bush	136 records (32 CCH)		Tree, Shrub	invasive non-native	SCROPHULARIACEAE
Buddleja saligna	Squarestem butterfly bush	1 record		Shrub	non-native	SCROPHULARIACEAE
Buddleja utahensis	Panamint butterfly bush	39 records (34 CCH)		Shrub	native	SCROPHULARIACEAE
Hebe Xfranciscana	Hebe	1 record (1 CCH)		Shrub	non-native	SCROPHULARIACEAE
Hebe speciosa	Showy hebe	4 records (2 CCH)		Shrub	non-native	SCROPHULARIACEAE
Leucophyllum frutescens	Texas barometer bush	3 records (1 CCH)		Shrub	non-native	SCROPHULARIACEAE
Limosella acaulis	Stemless mudwort	142 records (107 CCH)		Annual herb	native	SCROPHULARIACEAE
Limosella aquatica	Northern mudwort	92 records (75 CCH)		Annual herb (aquatic)	native	SCROPHULARIACEAE
Limosella australis	Welsh mudwort	49 records (5 CCH)		Perennial herb	native	SCROPHULARIACEAE
Mimulus filicifolius	Fern-leaved monkeyflower	1 record (1 CCH)		Annual herb	native	SCROPHULARIACEAE
Myoporum laetum	Ngaio tree	213 records (28 CCH)		Tree, Shrub	invasive non-native	SCROPHULARIACEAE
Nuttallanthus canadensis	Canada toadflax	109 records (23 CCH)		Annual, Biennial herb	native	SCROPHULARIACEAE
Scrophularia atrata	Black flowered figwort	115 records (93 CCH)		Perennial herb	native	SCROPHULARIACEAE
Scrophularia californica	California bee plant	1024 records (422 CCH)		Perennial herb	native	SCROPHULARIACEAE
Scrophularia desertorum	Desert figwort	112 records (96 CCH)		Perennial herb	native	SCROPHULARIACEAE
Scrophularia lanceolata	Mountain figwort	24 records (19 CCH)		Perennial herb	native	SCROPHULARIACEAE
Scrophularia villosa	Santa catalina figwort	1 record (1 CCH)		Shrub	native	SCROPHULARIACEAE
Verbascum blattaria	Moth mullein	252 records (118 CCH)		Perennial herb	non-native	SCROPHULARIACEAE
Verbascum bombyciferum	Giant silver mullein	1 record (1 CCH)		Biennial herb	non-native	SCROPHULARIACEAE
Verbascum speciosum	Showy mullein	3 records (3 CCH)		Biennial herb	non-native	SCROPHULARIACEAE
Verbascum thapsus	Woolly mullein	2526 records (126 CCH)		Perennial herb	invasive non-native	SCROPHULARIACEAE
Verbascum virgatum	Wand mullein	68 records (51 CCH)		Perennial herb	non-native	SCROPHULARIACEAE
