binomial,count
Cestrum elegans,3
Chamaesaracha nana,35
Datura stramonium,14
Lycium barbarum,8
Nicotiana acuminata,4
Nicotiana attenuata,26
Nicotiana glauca,1
Nicotiana quadrivalvis,19
Physalis longifolia,6
Salpichroa origanifolia,1
Solanum americanum,29
Solanum aviculare,18
Solanum carolinense,1
Solanum douglasii,11
Solanum dulcamara,24
Solanum elaeagnifolium,2
Solanum furcatum,13
Solanum nigrum,5
Solanum parishii,42
Solanum physalifolium,16
Solanum rostratum,2
Solanum triflorum,17
Solanum umbelliferum,61
Solanum xanti,7
