Urtica dioica ssp. holosericea	Stinging nettle	477 records (225 CCH)		Perennial herb	native	URTICACEAE
Urtica urens	Annual stinging nettle	260 records (126 CCH)		Annual herb	non-native	URTICACEAE
Hesperocnide tenella	Western stinging nettle	179 records (108 CCH)		Annual herb	native	URTICACEAE
Urtica dioica	Stinging nettle	169 records (24 CCH)		Perennial herb	native	URTICACEAE
Urtica dioica ssp. gracilis	Nettle	102 records (46 CCH)		Perennial herb	native	URTICACEAE
Parietaria judaica	Spreading pellitory	92 records (48 CCH)		Perennial herb	non-native	URTICACEAE
Parietaria hespera var. hespera	Pellitory	41 records (30 CCH)		Annual herb	native	URTICACEAE
Parietaria hespera var. californica	California pellitory	30 records (20 CCH)		Annual herb	native	URTICACEAE
Parietaria hespera	Pelitory	27 records (17 CCH)		Annual herb	native	URTICACEAE
Soleirolia soleirolii	Baby's tears	17 records (14 CCH)		Annual herb	non-native	URTICACEAE
Boehmeria cylindrica	Smallspike false nettle	16 records (14 CCH)		Perennial herb	non-native	URTICACEAE
Urtica dioica ssp. dioica	Stinging nettle	12 records		Perennial herb	non-native	URTICACEAE
Parietaria pensylvanica	Pennsylvania pellitory	4 records (3 CCH)		Annual herb	native	URTICACEAE


