Verbena lasiostachys	Western vervain	288 records (160 CCH)		Perennial herb	native	VERBENACEAE
Phyla nodiflora	Common lippia	269 records (126 CCH)		Perennial herb	native	VERBENACEAE
Verbena lasiostachys var. lasiostachys	Vervain	233 records (190 CCH)		Perennial herb	native	VERBENACEAE
Verbena lasiostachys var. scabrida	Robust vervain	155 records (116 CCH)		Perennial herb	native	VERBENACEAE
Verbena litoralis	Shore vervain	92 records (57 CCH)		Biennial, Perennial herb	invasive non-native	VERBENACEAE
Verbena bonariensis	Purple top vervain	92 records (38 CCH)		Annual, Biennial herb	invasive non-native	VERBENACEAE
Verbena bracteata	Bracted verbena	70 records (57 CCH)		Annual, Perennial herb	native	VERBENACEAE
Verbena hastata	Swamp verbena	56 records (35 CCH)		Perennial herb	native	VERBENACEAE
Verbena californica	California vervain	29 records (19 CCH)		Perennial herb	native	VERBENACEAE
Phyla lanceolata	Lance leaf lippia	23 records (12 CCH)		Perennial herb	native	VERBENACEAE
Verbena pulchella	South american mock vervain	13 records (11 CCH)		Perennial herb	non-native	VERBENACEAE
Lantana montevidensis	Trailing lantana	6 records (4 CCH)		Vine, Shrub	non-native	VERBENACEAE
Verbena officinalis	Herb of the cross	5 records (3 CCH)		Perennial herb	non-native	VERBENACEAE
Verbena scabra	Rough vervain	5 records (5 CCH)		Perennial herb	native	VERBENACEAE
Verbena menthifolia	Mint leafed vervain	5 records (5 CCH)		Annual, Perennial herb	native	VERBENACEAE
Vitex agnus-castus	Lilac chastetree	4 records (2 CCH)		Tree, Shrub	non-native	VERBENACEAE
Lantana camara	Lantana	4 records (3 CCH)		Shrub	non-native	VERBENACEAE
Verbena bonariensis var. conglomerata	Purpletop vervain	1 record (1 CCH)		Annual, Biennial herb	non-native	VERBENACEAE
