name
Crocosmia Xcrocosmiiflora
Iris bracteata
Iris chrysophylla
Iris douglasiana
Iris fernaldii
Iris foetidissima
Iris germanica
Iris hartwegii
Iris innominata
Iris longipetala
Iris macrosiphon
Iris missouriensis
Iris pseudacorus
Iris purdyi
Iris tenax
Iris tenuissima
Iris thompsonii
Olsynium douglasii
Romulea rosea
Sisyrinchium bellum
Sisyrinchium californicum
Sisyrinchium elmeri
Sisyrinchium halophilum
Sisyrinchium hitchcockii
Sisyrinchium idahoense
Sparaxis tricolor
Watsonia meriana
Cestrum elegans
Chamaesaracha nana
Datura stramonium
Lycium barbarum
Nicotiana acuminata
Nicotiana attenuata
Nicotiana glauca
Nicotiana quadrivalvis
Physalis longifolia
Salpichroa origanifolia
Solanum americanum
Solanum aviculare
Solanum carolinense
Solanum douglasii
Solanum dulcamara
Solanum elaeagnifolium
Solanum furcatum
Solanum nigrum
Solanum parishii
Solanum physalifolium
Solanum rostratum
Solanum triflorum
Solanum umbelliferum
Solanum xanti
Amaranthus albus
Amaranthus blitoides
Amaranthus californicus
Amaranthus hybridus
Amaranthus powellii
Amaranthus retroflexus
Nitrophila occidentalis
Alyssum alyssoides
Alyssum desertorum
Alyssum simplex
Arabidopsis thaliana
Arabis aculeolata
Arabis blepharophylla
Arabis eschscholtziana
Arabis holboellii
Arabis mcdonaldiana
Arabis modesta
Arabis oregana
Arabis pycnocarpa
Arabis repanda
Arabis rigidissima
Athysanus pusillus
Aubrieta deltoidea
Barbarea orthoceras
Barbarea verna
Barbarea vulgaris
Boechera acutina
Boechera arcuata
Boechera breweri
Boechera cobrensis
Boechera covillei
Boechera davidsonii
Boechera divaricarpa
Boechera howellii
Boechera koehleri
Boechera lemmonii
Boechera lyallii
Boechera microphylla
Boechera pauciflora
Boechera paupercula
Boechera pinetorum
Boechera pinzliae
Boechera platysperma
Boechera pratincola
Boechera puberula
Boechera pulchra
Boechera rectissima
Boechera repanda
Boechera retrofracta
Boechera rigidissima
Boechera rollei
Boechera serpenticola
Boechera sparsiflora
Boechera stricta
Boechera subpinnatifida
Boechera suffrutescens
Boechera ultraalsa
Brassica nigra
Brassica oleracea
Brassica rapa
Brassica tournefortii
Cakile edentula
Cakile maritima
Camelina microcarpa
Capsella bursa-pastoris
Cardamine angulata
Cardamine bellidifolia
Cardamine breweri
Cardamine californica
Cardamine cordifolia
Cardamine hirsuta
Cardamine nuttallii
Cardamine occidentalis
Cardamine oligosperma
Cardamine pachystigma
Cardamine pensylvanica
Caulanthus lasiophyllus
Caulanthus major
Chorispora tenella
Cochlearia groenlandica
Coincya monensis
Conringia orientalis
Cusickiella douglasii
Descurainia incana
Descurainia incisa
Descurainia longipedicellata
Descurainia nelsonii
Descurainia pinnata
Descurainia sophia
Draba albertina
Draba aureola
Draba breweri
Draba carnosula
Draba densifolia
Draba howellii
Draba nemorosa
Draba novolympica
Draba pterosperma
Draba reptans
Draba verna
Eruca vesicaria
Erysimum capitatum
Erysimum concinnum
Erysimum franciscanum
Erysimum menziesii
Erysimum perenne
Erysimum repandum
Euclidium syriacum
Hesperis matronalis
Hirschfeldia incana
Hornungia procumbens
Idahoa scapigera
Ionopsidium acaule
Isatis tinctoria
Lepidium acutidens
Lepidium appelianum
Lepidium campestre
Lepidium chalepense
Lepidium densiflorum
Lepidium dictyotum
Lepidium didymum
Lepidium draba
Lepidium heterophyllum
Lepidium lasiocarpum
Lepidium latifolium
Lepidium latipes
Lepidium montanum
Lepidium nitidum
Lepidium oblongum
Lepidium perfoliatum
Lepidium ramosissimum
Lepidium strictum
Lepidium virginicum
Lobularia maritima
Lunaria annua
Matthiola incana
Nasturtium officinale
Noccaea fendleri
Phoenicaulis cheiranthoides
Physaria occidentalis
Polyctenium fremontii
Raphanus raphanistrum
Raphanus sativus
Rorippa austriaca
Rorippa columbiae
Rorippa curvipes
Rorippa curvisiliqua
Rorippa palustris
Rorippa sinuata
Rorippa tenerrima
Sinapis alba
Sinapis arvensis
Sisymbrium altissimum
Sisymbrium officinale
Sisymbrium orientale
Streptanthus barbatus
Streptanthus barbiger
Streptanthus breweri
Streptanthus campestris
Streptanthus cordatus
Streptanthus drepanoides
Streptanthus glandulosus
Streptanthus hesperidis
Streptanthus howellii
Streptanthus longisiliquus
Streptanthus morrisonii
Streptanthus oblanceolatus
Streptanthus tortuosus
Streptanthus vimineus
Subularia aquatica
Thelypodium brachycarpum
Thelypodium crispum
Thelypodium flexuosum
Thelypodium howellii
Thelypodium laciniatum
Thlaspi arvense
Thysanocarpus curvipes
Thysanocarpus laciniatus
Thysanocarpus radians
Tropidocarpum gracile
Turritis glabra
Callitropsis nootkatensis
Calocedrus decurrens
Chamaecyparis lawsoniana
Hesperocyparis bakeri
Hesperocyparis goveniana
Hesperocyparis macnabiana
Hesperocyparis macrocarpa
Hesperocyparis pygmaea
Hesperocyparis sargentii
Juniperus californica
Juniperus communis
Juniperus grandis
Juniperus occidentalis
Juniperus osteosperma
Sequoia sempervirens
Sequoiadendron giganteum
Thuja plicata
Pseudotrillium rivale
Stenanthium occidentale
Toxicoscordion brevibracteatum
Toxicoscordion exaltatum
Toxicoscordion fontanum
Toxicoscordion fremontii
Toxicoscordion micranthum
Toxicoscordion paniculatum
Toxicoscordion venenosum
Trillium albidum
Trillium angustipetalum
Trillium chloropetalum
Trillium ovatum
Veratrum californicum
Veratrum fimbriatum
Veratrum insolitum
Veratrum viride
Xerophyllum tenax
Calystegia atriplicifolia
Calystegia collina
Calystegia macrostegia
Calystegia malacophylla
Calystegia occidentalis
Calystegia purpurata
Calystegia silvatica
Calystegia soldanella
Calystegia subacaulis
Convolvulus arvensis
Cressa truxillensis
Cuscuta approximata
Cuscuta californica
Cuscuta campestris
Cuscuta cephalanthi
Cuscuta howelliana
Cuscuta indecora
Cuscuta japonica
Cuscuta jepsonii
Cuscuta occidentalis
Cuscuta pacifica
Cuscuta pentagona
Cuscuta salina
Cuscuta subinclusa
Cuscuta suksdorfii
Dichondra donelliana
Calochortus amabilis
Calochortus argillosus
Calochortus coeruleus
Calochortus elegans
Calochortus greenei
Calochortus leichtlinii
Calochortus longebarbatus
Calochortus luteus
Calochortus macrocarpus
Calochortus minimus
Calochortus monanthus
Calochortus nudus
Calochortus persistens
Calochortus pulchellus
Calochortus raichei
Calochortus splendens
Calochortus superbus
Calochortus syntrophus
Calochortus tolmiei
Calochortus umbellatus
Calochortus uniflorus
Calochortus venustus
Calochortus vestae
Clintonia andrewsiana
Clintonia uniflora
Erythronium californicum
Erythronium citrinum
Erythronium grandiflorum
Erythronium helenae
Erythronium hendersonii
Erythronium howellii
Erythronium klamathense
Erythronium multiscapideum
Erythronium oregonum
Erythronium purpurascens
Erythronium pusaterii
Erythronium revolutum
Erythronium shastense
Fritillaria affinis
Fritillaria agrestis
Fritillaria atropurpurea
Fritillaria biflora
Fritillaria eastwoodiae
Fritillaria gentneri
Fritillaria glauca
Fritillaria liliacea
Fritillaria micrantha
Fritillaria ojaiensis
Fritillaria pluriflora
Fritillaria pudica
Fritillaria purdyi
Fritillaria recurva
Fritillaria roderickii
Hyacinthus orientalis
Lilium bolanderi
Lilium columbianum
Lilium humboldtii
Lilium kelleyanum
Lilium kelloggii
Lilium maritimum
Lilium occidentale
Lilium pardalinum
Lilium parvum
Lilium rubescens
Lilium washingtonianum
Muscari botryoides
Prosartes hookeri
Prosartes parvifolia
Prosartes smithii
Scoliopus bigelovii
Streptopus amplexifolius
Arum italicum
Arum palaestinum
Landoltia punctata
Lemna gibba
Lemna minor
Lemna minuta
Lemna trisulca
Lemna turionifera
Lemna valdiviana
Lysichiton americanus
Spirodela polyrhiza
Wolffia borealis
Zantedeschia aethiopica
Nuphar polysepala
Nymphaea odorata
Sparganium angustifolium
Sparganium emersum
Sparganium eurycarpum
Sparganium natans
Typha angustifolia
Typha domingensis
Typha latifolia
Maianthemum dilatatum
Maianthemum racemosum
Maianthemum stellatum
Allium acuminatum
Allium amplectens
Allium anceps
Allium atrorubens
Allium bisceptrum
Allium bolanderi
Allium campanulatum
Allium cratericola
Allium dichlamydeum
Allium falcifolium
Allium fimbriatum
Allium hoffmanii
Allium lemmonii
Allium membranaceum
Allium neapolitanum
Allium obtusum
Allium paniculatum
Allium parvum
Allium peninsulare
Allium platycaule
Allium punctum
Allium sanbornii
Allium serra
Allium siskiyouense
Allium tolmiei
Allium tribracteatum
Allium triquetrum
Allium unifolium
Allium validum
Allium vineale
Ipheion uniflorum
Ceanothus Xlorenzenii
Ceanothus arcuatus
Ceanothus confusus
Ceanothus cordulatus
Ceanothus cuneatus
Ceanothus diversifolius
Ceanothus foliosus
Ceanothus gloriosus
Ceanothus incanus
Ceanothus integerrimus
Ceanothus jepsonii
Ceanothus lemmonii
Ceanothus leucodermis
Ceanothus masonii
Ceanothus oliganthus
Ceanothus papillosus
Ceanothus parryi
Ceanothus parvifolius
Ceanothus pinetorum
Ceanothus prostratus
Ceanothus pumilus
Ceanothus purpureus
Ceanothus sanguineus
Ceanothus thyrsiflorus
Ceanothus tomentosus
Ceanothus velutinus
Ceanothus vestitus
Frangula californica
Frangula purshiana
Frangula rubra
Rhamnus alnifolia
Rhamnus crocea
Rhamnus ilicifolia
Ziziphus obtusifolia
Fraxinus dipetala
Fraxinus latifolia
Fraxinus velutina
Ligustrum japonicum
Ligustrum lucidum
Ligustrum ovalifolium
Ligustrum vulgare
Menodora spinescens
Anethum graveolens
Angelica arguta
Angelica breweri
Angelica californica
Angelica genuflexa
Angelica hendersonii
Angelica lucida
Angelica tomentosa
Anthriscus caucalis
Apiastrum angustifolium
Apium graveolens
Berula erecta
Bowlesia incana
Cicuta douglasii
Cicuta maculata
Conioselinum pacificum
Conium maculatum
Cyclospermum leptophyllum
Cymopterus terebinthinus
Daucus carota
Daucus pusillus
Eryngium alismifolium
Eryngium aristulatum
Eryngium armatum
Eryngium articulatum
Eryngium castrense
Eryngium mathiasiae
Eryngium vaseyi
Foeniculum vulgare
Glehnia littoralis
Heracleum maximum
Ligusticum apiifolium
Ligusticum californicum
Ligusticum grayi
Lilaeopsis occidentalis
Lomatium bicolor
Lomatium californicum
Lomatium canbyi
Lomatium caruifolium
Lomatium ciliolatum
Lomatium congdonii
Lomatium dasycarpum
Lomatium dissectum
Lomatium engelmannii
Lomatium foeniculaceum
Lomatium grayi
Lomatium hallii
Lomatium hendersonii
Lomatium hooveri
Lomatium howellii
Lomatium macrocarpum
Lomatium marginatum
Lomatium martindalei
Lomatium nevadense
Lomatium nudicaule
Lomatium peckianum
Lomatium piperi
Lomatium plummerae
Lomatium ravenii
Lomatium roseanum
Lomatium tracyi
Lomatium triternatum
Lomatium utriculatum
Lomatium vaginatum
Oenanthe sarmentosa
Orogenia fusiformis
Osmorhiza berteroi
Osmorhiza depauperata
Osmorhiza occidentalis
Osmorhiza purpurea
Oxypolis occidentalis
Pastinaca sativa
Perideridia bolanderi
Perideridia gairdneri
Perideridia howellii
Perideridia kelloggii
Perideridia lemmonii
Perideridia leptocarpa
Perideridia oregana
Perideridia parishii
Petroselinum crispum
Sanicula arctopoides
Sanicula bipinnata
Sanicula bipinnatifida
Sanicula crassicaulis
Sanicula graveolens
Sanicula laciniata
Sanicula maritima
Sanicula peckiana
Sanicula tracyi
Sanicula tuberosa
Scandix pecten-veneris
Sium suave
Sphenosciadium capitellatum
Tauschia glauca
Tauschia hartwegii
Tauschia howellii
Tauschia kelloggii
Torilis arvensis
Torilis japonica
Torilis nodosa
Yabea microcarpa
Humulus lupulus
Asyneuma prenanthoides
Campanula angustiflora
Campanula californica
Campanula griffinii
Campanula rotundifolia
