"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","420571","Adoxaceae","Sambucus nigra ssp. caerulea","blue elderberry, southwestern elderberry","Harvey, T.","","2004 - 2013","2004","Douglas","Buck Canyon","43.0762","-122.4105","1359","","","Sambucus nigra L. ssp. caerulea (Raf.) Bolli "
"observation","397808","Adoxaceae","Sambucus nigra ssp. caerulea","blue elderberry, southwestern elderberry","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","16 May 2007","2007","Lane","Highway 58, mile post 55 to 56","43.6274","-122.1441","","","","Sambucus nigra L. ssp. caerulea (Raf.) Bolli "
"observation","384301","Adoxaceae","Sambucus racemosa","elderberry","Wilson, B.","","28 March 2010","2010","Lincoln","Holly-Ivy list 8: Logsdon by Siletz Valley Fire Department","44.7427","-123.7893","61","","","Sambucus racemosa L. "
"image","dig39695","Adoxaceae","Viburnum edule","highbush cranberry, moosewood viburnum","Gerald D. Carr","","August 29, 2014","2014","Clackamas","SW bank of Little Sandy River, ca. 0.5 mi. SE of jct. of NF Rd. 12 and decommissioned NF Rd. 1228, N of Brightwood; 857m; 45.41765&#176; N -121.95856&#176; W","45.4176","-121.9586","857","","","Viburnum edule (Michx.) Raf. "
"observation","309697","Adoxaceae","Viburnum ellipticum","Oregon viburnum, western wayfaring tree","Salix Associates","","2004","2004","Benton","Allen & Allen","44.4903","-123.3269","73","","","Viburnum ellipticum Hook. "
"observation","394442","Adoxaceae","Sambucus nigra ssp. caerulea","blue elderberry, southwestern elderberry","Wilson, B., Otting, N., Coberly, C.","","2009","2009","Linn","Highway 20, Albany to Sisters, mile post 34 to 35","44.4079","-122.6060","","","","Sambucus nigra L. ssp. caerulea (Raf.) Bolli "
"image","dig36559","Adoxaceae","Viburnum tinus","laurustinus","Gerald D. Carr","","April 17, 2013","2013","Benton","Corvallis; Corvallis Public Library, near corner of NW 6th St. and NW Jackson Ave.; 70m; 44.56604&#176; N -123.26437&#176; W","44.5660","-123.2644","70","","","Viburnum tinus L. "
"observation","384359","Adoxaceae","Sambucus racemosa","elderberry","Wilson, B.","","28 March 2010","2010","Lincoln","Holly-Ivy list 13: Road 410","44.7314","-123.8190","","","","Sambucus racemosa L. "
"image","dig9520","Adoxaceae","Viburnum ellipticum","Oregon viburnum, western wayfaring tree","Gerald D. Carr","","May 21, 2007","2007","Benton","Herbert Green Space, near Muddy Creek, ca. 0.5 mi. southwest of dead end of Herbert Ave; 44.51984&#176; N -123.29855&#176; W","44.5198","-123.2986","","","","Viburnum ellipticum Hook. "
"observation","420546","Adoxaceae","Sambucus nigra ssp. caerulea","blue elderberry, southwestern elderberry","Harvey, T.","","2008 - 2013","2008","Douglas or Lane","Bristow Prairie and High Divide Trail","43.4414","-122.4604","1387","","","Sambucus nigra L. ssp. caerulea (Raf.) Bolli "
"observation","399036","Adoxaceae","Sambucus nigra ssp. caerulea","blue elderberry, southwestern elderberry","Wilson, B., Otting, N.","","27 July 2007","2007","Umatilla","Highway 395, Pendleton to near John Day, mile post 52 to 53","45.1108","-118.9742","","","","Sambucus nigra L. ssp. caerulea (Raf.) Bolli "
"observation","413025","Adoxaceae","Sambucus racemosa var. arborescens","red elderberry","Newhouse, B.","","2011","2011","Lane","Clearwater Park","44.0296","-122.9421","146","","","Sambucus racemosa L. var. arborescens (Torr. & A. Gray) A. Gray "
"observation","305495","Adoxaceae","Sambucus racemosa","elderberry","Wilson, B.","","13 July 2006","2006","Tillamook","Bob Straub State Park Boat Ramp, Pacific City","45.1976","-123.9644","6","","","Sambucus racemosa L. "
"observation","10094808","Adoxaceae","Viburnum opulus var. opulus","Guelder rose","R.E. Brainerd","","23 October 2012","2012","Benton","Unaccessioned specimen: Brainerd, R. #2095","44.6044","-123.2555","88","Moist meadow with scattered shrubs an...","","Viburnum opulus L. var. opulus "
