"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig22632","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Frank T. Callahan II","","July 24, 2010","2010","Curry","Nesika Beach; 12m; 42.5081&#176; N -124.4138&#176; W","42.508100","-124.413800","12","","","Carpobrotus chilensis (Molina) N.E. Br. "
"image","dig22630","Aizoaceae","Delosperma cooperi","delosperma, ice plant","Frank T. Callahan II","","July 24, 2010","2010","Curry","Nesika Beach; 12m; 42.5081&#176; N -124.4138&#176; W","42.5081","-124.4138","12","","","Delosperma cooperi L. Bolus "
"observation","416842","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Wood, W.","","12 May 2013","2013","Curry","Lone Ranch Beach","42.1004","-124.3471","","","","Carpobrotus chilensis (Molina) N.E. Br. "
"observation","361687","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Bluhm, W.","","2004 - 2006","2004","Curry","Harris Beach State Park, Brookings","42.0713","-124.3085","0","","","Carpobrotus chilensis (Molina) N.E. Br. "
"observation","323257","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Wilson, B.","","22 July 2007","2007","Coos","Mars Street, S of Bandon","43.0883","-124.4328","11","","","Carpobrotus chilensis (Molina) N.E. Br. "
"image","bor4854","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Wilbur L. Bluhm","","September 3, 2004","2004","Curry","Harris Beach State Park; 3m","42.0672","-124.3058","3","","","Carpobrotus chilensis (Molina) N.E. Br. "
"image","dig23635","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Gerald D. Carr","","June 14, 2010","2010","Curry","north shore of mouth of Pistol River, west of Hwy101; 3m; 42.27878&#176; N -124.40469&#176; W","42.2788","-124.4047","3","","","Carpobrotus chilensis (Molina) N.E. Br. "
"observation","416859","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Wood, W.","","12 May 2013","2013","Curry","Samuel H. Boardman State Park","42.1050","-124.3442","","","","Carpobrotus chilensis (Molina) N.E. Br. "
"image","dig22631","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Frank T. Callahan II","","July 24, 2010","2010","Curry","Nesika Beach; 12m; 42.5081&#176; N -124.4138&#176; W","42.5081","-124.4138","12","","","Carpobrotus chilensis (Molina) N.E. Br. "
"image","dig23634","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Gerald D. Carr","","June 14, 2010","2010","Curry","north shore of mouth of Pistol River, west of Hwy101; 3m; 42.27878&#176; N -124.40469&#176; W","42.2788","-124.4047","3","","","Carpobrotus chilensis (Molina) N.E. Br. "
"image","dig22633","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Frank T. Callahan II","","July 24, 2010","2010","Curry","Nesika Beach; 12m; 42.5081&#176; N -124.4138&#176; W","42.5081","-124.4138","12","","","Carpobrotus chilensis (Molina) N.E. Br. "
"image","dig22629","Aizoaceae","Delosperma cooperi","delosperma, ice plant","Frank T. Callahan II","","July 24, 2010","2010","Curry","Nesika Beach; 12m; 42.5081&#176; N -124.4138&#176; W","42.5081","-124.4138","12","","","Delosperma cooperi L. Bolus "
"image","dig23636","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Gerald D. Carr","","June 14, 2010","2010","Curry","north shore of mouth of Pistol River, west of Hwy101; 3m; 42.27878&#176; N -124.40469&#176; W","42.2788","-124.4047","3","","","Carpobrotus chilensis (Molina) N.E. Br. "
"image","bor4855","Aizoaceae","Carpobrotus chilensis","sea fig, ice plant","Wilbur L. Bluhm","","September 3, 2004","2004","Curry","Harris Beach State Park; 3m","42.0672","-124.3058","3","","","Carpobrotus chilensis (Molina) N.E. Br. "
