"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig37998","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","July 30, 2014","2014","Lane","Quamash Prairie wetland mitigation complex, 5 mi. SW of Eugene; 158m; 43.95153&#176; N -123.00374&#176; W","43.951500","-123.003700","158","","","Alisma lanceolatum With. "
"observation","311508","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Brainerd, R., Newhouse, B., Otting, N.","","2005","2005","Lane","North Taylor","44.1378","-123.2937","102","","","Alisma triviale Pursh "
"image","dig37996","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","July 30, 2014","2014","Lane","Quamash Prairie wetland mitigation complex, 5 mi. SW of Eugene; 158m; 43.95153&#176; N -123.00374&#176; W","43.9515","-123.0037","158","","","Alisma lanceolatum With. "
"observation","402955","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Alisma triviale Pursh "
"observation","412440","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Newhouse, B., Brainerd, R.","","July 2007","2007","Benton","Herbert Farm and Natural Area, Open Space Park","44.5198","-123.2956","","","","Alisma triviale Pursh "
"image","dig38000","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","July 31, 2014","2014","Lane","Quamash Prairie wetland mitigation complex, 5 mi. SW of Eugene; 158m; 43.95153&#176; N -123.00374&#176; W","43.9515","-123.0037","158","","","Alisma lanceolatum With. "
"observation","422545","Alismataceae","Sagittaria cuneata","arumleaf arrowhead, wapato","Harvey, T.","","8 August 2012","2012","Lane","Lopez Lake and Road 5884","43.5925","-122.1607","1554","","","Sagittaria cuneata E. Sheld. "
"image","dig22922","Alismataceae","Sagittaria cuneata","arumleaf arrowhead, wapato","Tanya Harvey","","August 16, 2009","2009","Douglas","Loletta Lakes","43.3992","-122.4331","","","","Sagittaria cuneata E. Sheld. "
"image","dig15247","Alismataceae","Sagittaria cuneata","arumleaf arrowhead, wapato","Bruce Neil Newhouse","","September 30, 2006","2006","Lane","Lopez Lake","43.5903","-122.1508","","","","Sagittaria cuneata E. Sheld. "
"observation","300318","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Olson, B.B., Maffitt, V.","","3 July 2002","2002","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Alisma triviale Pursh "
"observation","229539","Alismataceae","Sagittaria cuneata","arumleaf arrowhead, wapato","Wilson, B.","","2002 - 2012","2002","Wasco","The Dalles","45.5946","-121.1787","26","","","Sagittaria cuneata E. Sheld. "
"observation","417587","Alismataceae","Alisma triviale","northern water plantain, American water plantain","NPSO - Portland","","2013","2013","Columbia or Multnomah","Sauvie Island: Joslin Pond","45.7508","-122.8172","","","","Alisma triviale Pursh "
"observation","417615","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","NPSO - Portland","","2013","2013","Columbia or Multnomah","Sauvie Island: Dillion Slough","45.7508","-122.8172","","","","Sagittaria latifolia Willd. "
"image","dig38009","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","August 5, 2014","2014","Lane","Roadside ditch, Hwy 126, 1.8 mi. E of jct. with Hwy 30 (at Mapleton); 30m; 44.02669&#176; N -123.82634&#176; W","44.0267","-123.8263","30","","","Alisma lanceolatum With. "
"observation","301092","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Salix Associates","","13 June 2005","2005","Lane","Fern Ridge Lake Drawdown Zone","44.0885","-123.3053","","","","Alisma lanceolatum With. "
"observation","301093","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Salix Associates","","13 June 2005","2005","Lane","Fern Ridge Lake Drawdown Zone","44.0885","-123.3053","","","","Alisma triviale Pursh "
"image","dig7942","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Bruce Neil Newhouse","","June 28, 2005","2005","Lane","Franklin Road; 44.1572&#176; N -123.2662&#176; W","44.1572","-123.2662","","","","Sagittaria latifolia Willd. "
"observation","324294","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Schuller, R.","","2003","2003","Linn","Carolyn's Crown/Shafer Creek Research Natural Area","44.6107","-122.4609","853","","","Sagittaria latifolia Willd. "
"image","dig22921","Alismataceae","Sagittaria cuneata","arumleaf arrowhead, wapato","Tanya Harvey","","August 16, 2009","2009","Douglas","Loletta Lakes","43.3992","-122.4331","","","","Sagittaria cuneata E. Sheld. "
"observation","378686","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Harvey, T.","","2004 - 2011","2004","Douglas","Twin Lakes","43.2348","-122.5875","1481","","","Sagittaria latifolia Willd. "
"observation","366725","Alismataceae","Sagittaria cuneata","arumleaf arrowhead, wapato","Harvey, T.","","2008 - 2013","2008","Douglas","Bradley Lake - Harvey","43.4004","-122.4801","1646","","","Sagittaria cuneata E. Sheld. "
"image","dig21972","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Gerald D. Carr","","September 8, 2009","2009","Benton","narrow trench west of main channel of Willamette River, 0.4 air mi. southeast of the parking area off Fisher Lane at north end of Willamette Park, Corvallis; 64m","44.5486","-123.2436","64","","","Sagittaria latifolia Willd. "
"image","dig38002","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","July 31, 2014","2014","Lane","Quamash Prairie wetland mitigation complex, 5 mi. SW of Eugene; 158m; 43.95153&#176; N -123.00374&#176; W","43.9515","-123.0037","158","","","Alisma lanceolatum With. "
"observation","300583","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Olson, B.B., Maffitt, V.","","3 July 2002","2002","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Alisma lanceolatum With. "
"observation","401393","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Newhouse, B.","","2010","2010","Lane","T19S R04W Section 14 NW 1/4, private property site","43.9228","-123.1414","","","","Alisma triviale Pursh "
"image","dig21970","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Gerald D. Carr","","September 2, 2009","2009","Multnomah","shore of Mirror Lake, near parking area on north side of I-84, Rooster Rock State Park; 14m; 45.54257&#176; N -122.22805&#176; W","45.5426","-122.2280","14","","","Sagittaria latifolia Willd. "
"observation","418294","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Maze, D.","","10 May 2014","2014","Multnomah","Catkin Marsh","45.5378","-122.7591","","","","Alisma triviale Pursh "
"image","dig21963","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Gerald D. Carr","","September 2, 2009","2009","Multnomah","shore of Mirror Lake, near parking area on north side of I-84, Rooster Rock State Park; 14m","45.5426","-122.2280","14","","","Sagittaria latifolia Willd. "
"image","dig21971","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Gerald D. Carr","","September 2, 2009","2009","Multnomah","shore of Mirror Lake, near parking area on north side of I-84, Rooster Rock State Park; 14m","45.5426","-122.2280","14","","","Sagittaria latifolia Willd. "
"observation","413185","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Newhouse, B.","","2010 - 2012","2010","Lane","Coyote-Spencer Wetlands, Eugene","44.0113","-123.2633","","","","Alisma triviale Pursh "
"image","dig21967","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Gerald D. Carr","","September 2, 2009","2009","Multnomah","shore of Mirror Lake, near parking area on north side of I-84, Rooster Rock State Park; 14m; 45.54257&#176; N -122.22805&#176; W","45.5426","-122.2280","14","","","Sagittaria latifolia Willd. "
"observation","181578","Alismataceae","Damasonium californicum","California damasonium, fringed water plantain","Battaile, J., Battaile, C.","","30 June 2002","2002","Klamath","Clover Creek vernal pool","42.1650","-121.9983","1247","","","Damasonium californicum Torr. "
"image","dig38008","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","August 5, 2014","2014","Lane","Roadside ditch, Hwy 126, 1.8 mi. E of jct. with Hwy 30 (at Mapleton); 30m; 44.02669&#176; N -123.82634&#176; W","44.0267","-123.8263","30","","","Alisma lanceolatum With. "
"image","dig21965","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Gerald D. Carr","","September 2, 2009","2009","Multnomah","shore of Mirror Lake, near parking area on north side of I-84, Rooster Rock State Park; 14m; 45.54257&#176; N -122.22805&#176; W","45.5426","-122.2280","14","","","Sagittaria latifolia Willd. "
"image","dig38006","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","August 5, 2014","2014","Lane","Roadside ditch, Hwy 126, 1.8 mi. E of jct. with Hwy 30 (at Mapleton); 30m; 44.02669&#176; N -123.82634&#176; W","44.0267","-123.8263","30","","","Alisma lanceolatum With. "
"image","dig37997","Alismataceae","Alisma lanceolatum","lanceleaf water plantain","Gerald D. Carr","","July 30, 2014","2014","Lane","Quamash Prairie wetland mitigation complex, 5 mi. SW of Eugene; 158m; 43.95153&#176; N -123.00374&#176; W","43.9515","-123.0037","158","","","Alisma lanceolatum With. "
"observation","336889","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Halvorson, R.","","26 September 2006","2006","Jefferson","12S 12E 11","44.5458","-121.2600","","","","Alisma triviale Pursh "
"image","dig15248","Alismataceae","Sagittaria cuneata","arumleaf arrowhead, wapato","Bruce Neil Newhouse","","September 30, 2006","2006","Lane","Lopez Lake","43.5903","-122.1508","","","","Sagittaria cuneata E. Sheld. "
"image","dig15246","Alismataceae","Sagittaria cuneata","arumleaf arrowhead, wapato","Bruce Neil Newhouse","","September 30, 2006","2006","Lane","Lopez Lake","43.5903","-122.1508","","","","Sagittaria cuneata E. Sheld. "
"image","dig21968","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Gerald D. Carr","","September 2, 2009","2009","Multnomah","shore of Mirror Lake, near parking area on north side of I-84, Rooster Rock State Park; 14m; 45.54257&#176; N -122.22805&#176; W","45.5426","-122.2280","14","","","Sagittaria latifolia Willd. "
"observation","376243","Alismataceae","Sagittaria cuneata","arumleaf arrowhead, wapato","Harvey, T.","","2009 - 2012","2009","Douglas","Loletta Lakes, Peak and wetlands","43.3991","-122.4289","1603","","","Sagittaria cuneata E. Sheld. "
"observation","300611","Alismataceae","Sagittaria latifolia","wapato, broadleaf arrowhead, duck potato","Olson, B.B., Maffitt, V.","","30 June 2006","2006","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Sagittaria latifolia Willd. "
"observation","401160","Alismataceae","Alisma triviale","northern water plantain, American water plantain","Newhouse, B.","","2007 - 2009","2007","Lane","Private Site about 1.5 miles north of Fern Ridge Dam","44.1538","-123.2921","101","","","Alisma triviale Pursh "
