"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","292352","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B.","","2002","2002","Hood River","I-84, mile 63 to 64","45.7117","-121.5212","","","","Salsola tragus L. "
"observation","282510","Amaranthaceae","Bassia scoparia","mock cypress, burning bush","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Multnomah","I-5, mile 303 to 304","45.5496","-122.6763","","","","Bassia scoparia (L.) A.J. Scott "
"observation","357783","Amaranthaceae","Dysphania ambrosioides","Mexican tea, wormseed","Wilson, B., Otting, N.","","17 September 2008","2008","Douglas","Picket Park","42.9399","-123.2647","221","","","Dysphania ambrosioides (L.) Mosyakin & Clemants "
"observation","328728","Amaranthaceae","Dysphania ambrosioides","Mexican tea, wormseed","Morse, K.","","11 August 2007","2007","Josephine","Deer Creek Center - South","42.2749","-123.6380","382","","","Dysphania ambrosioides (L.) Mosyakin & Clemants "
"observation","396138","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B.","","2009","2009","Deschutes","Highway 20, Sisters to Bend, mile post 7 to 8","44.2216","-121.4384","","","","Salsola tragus L. "
"image","dig38056","Amaranthaceae","Amaranthus powellii","Powell's amaranth","Gerald D. Carr","","July 24, 2014","2014","Linn","2.8 mi. NNE of Hwy 34 via Riverside Drive, then 1.0 mi. W on unnamed dirt rd.; 62m; 44.5972&#176; N -123.18984&#176; W","44.5972","-123.1898","62","","","Amaranthus powellii S. Watson "
"observation","401013","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B., Otting, N.","","24 July 2009","2009","Crook","Highway 380, Prineville to Paulina, mile post 47 to 48","44.0975","-120.0879","","","","Salsola tragus L. "
"observation","291102","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B.","","2002","2002","Gilliam","I-84, mile 133 to 134","45.7060","-120.2941","","","","Salsola tragus L. "
"observation","400586","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B., Otting, N.","","24 July 2009","2009","Crook","Highway 380, Prineville to Paulina, mile post 7 to 8","44.2680","-120.7159","","","","Salsola tragus L. "
"observation","289271","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Jackson","I-5, mile 42 to 43","42.4315","-123.0740","","","","Salsola tragus L. "
"observation","291734","Amaranthaceae","Bassia scoparia","mock cypress, burning bush","Wilson, B.","","2002","2002","Wasco","I-84, mile 89 to 90","45.6282","-121.1038","","","","Bassia scoparia (L.) A.J. Scott "
"observation","352288","Amaranthaceae","Dysphania ambrosioides","Mexican tea, wormseed","Wilson, B.","","6 June 2008","2008","Douglas","Osprey Boat Launch","43.4503","-123.5387","74","","","Dysphania ambrosioides (L.) Mosyakin & Clemants "
"observation","408108","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B., Otting, N.","","27 June 2012","2012","Lake","Goose Lake State Park, W side of Goose Lake","41.9933","-120.3293","1432","","","Salsola tragus L. "
"observation","291340","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B.","","2002","2002","Gilliam","I-84, mile 116 to 117","45.7402","-120.6150","","","","Salsola tragus L. "
"observation","400544","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B., Otting, N.","","24 July 2009","2009","Crook","Highway 380, Prineville to Paulina, mile post 3 to 4","44.2730","-120.7920","","","","Salsola tragus L. "
"observation","293623","Amaranthaceae","Bassia scoparia","mock cypress, burning bush","Wilson, B.","","2002","2002","Multnomah","I-84, mile 18 to 19","45.5435","-122.3674","","","","Bassia scoparia (L.) A.J. Scott "
"observation","400730","Amaranthaceae","Bassia scoparia","mock cypress, burning bush","Wilson, B., Otting, N.","","24 July 2009","2009","Crook","Highway 380, Prineville to Paulina, mile post 20 to 21","44.1738","-120.5596","","","","Bassia scoparia (L.) A.J. Scott "
"observation","290914","Amaranthaceae","Bassia scoparia","mock cypress, burning bush","Wilson, B.","","2002","2002","Gilliam","I-84, mile 145 to 146","45.7738","-120.0724","","","","Bassia scoparia (L.) A.J. Scott "
"image","dig27044","Amaranthaceae","Atriplex confertifolia","spiny saltbush, sheepfat","Gerald D. Carr","","May 21, 2011","2011","Lake","County Road 2-06, 0.5 mi. west of junction with Highway 395, near northwest corner of Abert Lake; 1318m; 42.75304&#176; N -120.11953&#176; W","42.7530","-120.1195","1318","","","Atriplex confertifolia (Torr. & Frém.) S. Watson "
"image","dig34631","Amaranthaceae","Amaranthus blitoides","prostrate pigweed, tumbleweed amaranth","Gerald D. Carr","","August 3, 2013","2013","Crook","Hwy 26, 1.5 mi. NE of jct. with Ochoco Creek Rd., ca. 16 mi. ENE of Prineville; 1091m; 44.35548&#176; N -120.54151&#176; W","44.3555","-120.5415","1091","","","Amaranthus blitoides S. Watson "
"image","dig38503","Amaranthaceae","Corispermum americanum var. americanum","American bugseed, common bugseed","Gerald D. Carr","","September 3, 2014","2014","Multnomah","Sandy beach on NE shore of Hayden Island, off N Hayden Island Drive, ca. 0.3 air mi. NW of RR crossing, Portland; 5m; 45.62497&#176; N -122.69776&#176; W","45.6250","-122.6978","5","","","Corispermum americanum (Nutt.) Nutt. var. americanum "
"observation","364384","Amaranthaceae","Dysphania ambrosioides","Mexican tea, wormseed","Bluhm, W., BLM Botanist","","2004 - 2006","2004","Coos","New River ACEC","42.9745","-124.4623","","","","Dysphania ambrosioides (L.) Mosyakin & Clemants "
"observation","283301","Amaranthaceae","Bassia scoparia","mock cypress, burning bush","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Marion","I-5, mile 271 to 272","45.1468","-122.8850","","","","Bassia scoparia (L.) A.J. Scott "
"image","dig11043","Amaranthaceae","Amaranthus albus","white pigweed, tumbling pigweed","Ruth M. Smith","","August 26, 2002","2002","Deschutes","Bend","44.0583","-121.3142","","","","Amaranthus albus L. "
"image","dig20079","Amaranthaceae","Amaranthus albus","white pigweed, tumbling pigweed","Gerald D. Carr","","September 4, 2009","2009","Wasco","E side of mouth of Threemile Cr., W of junction of Lone Pine Dr. and Hwy. 197; 24m","45.6041","-121.1470","24","","","Amaranthus albus L. "
"image","dig39588","Amaranthaceae","Suaeda nigra","tall seablight, shrubby seablight","Gerald D. Carr","","June 4, 2014","2014","Lake","Rd. CR 2-06, 3.3 mi. W of jct. with Hwy 395, N end of Lake Abert; 1315m; 42.75499&#176; N -120.17056&#176; W","42.7550","-120.1706","1315","","","Suaeda nigra (Raf.) J.F. Macbr. "
"image","dig20225","Amaranthaceae","Atriplex patula","","Gerald D. Carr","","September 4, 2009","2009","Sherman","southwest quadrant of intersection of SR 206 and road to Deschutes River State Recreation Area.; 58m","45.6343","-120.9087","58","","","Atriplex patula L. "
"observation","391780","Amaranthaceae","Bassia scoparia","mock cypress, burning bush","Wilson, B., Otting, N.","","21 August 2009","2009","Deschutes","Highway 20, Bend to Ontario, mile post 2 to 3","44.0551","-121.2745","","","","Bassia scoparia (L.) A.J. Scott "
"observation","311910","Amaranthaceae","Dysphania ambrosioides","Mexican tea, wormseed","Brainerd, R., Newhouse, B., Lytjen, D., Otting, N.","","2004","2004","Lane","Green Island - Brainerd, Newhouse, Lytjen, Otting","44.1596","-123.1255","","","","Dysphania ambrosioides (L.) Mosyakin & Clemants "
"observation","321256","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B., Otting, N.","","22 May 2007","2007","Crook","Prineville, from the Stafford Inn to Juniper Street","44.3043","-120.8318","889","","","Salsola tragus L. "
"image","dig20076","Amaranthaceae","Amaranthus albus","white pigweed, tumbling pigweed","Gerald D. Carr","","September 4, 2009","2009","Wasco","east side of mouth of Threemile Creek, 0.43 air mi. west of junction of Lone Pine Drive and Highway 197; 24m; 45.60409&#176; N -121.14705&#176; W","45.6041","-121.1470","24","","","Amaranthus albus L. "
"observation","400855","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B., Otting, N.","","24 July 2009","2009","Crook","Highway 380, Prineville to Paulina, mile post 32 to 33","44.1324","-120.3558","","","","Salsola tragus L. "
"observation","400553","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B., Otting, N.","","24 July 2009","2009","Crook","Highway 380, Prineville to Paulina, mile post 4 to 5","44.2744","-120.7721","","","","Salsola tragus L. "
"observation","289740","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 23 to 24","42.2709","-122.8039","","","","Salsola tragus L. "
"image","dig34003","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Paul Slichter","","September 29, 2007","2007","Wasco","Dalles Riverside Park, immediately north of the parking area; 24m; T01N R13E S2","45.6008","-121.1633","24","","","Salsola tragus L. "
"observation","364383","Amaranthaceae","Atriplex patula","","Bluhm, W., BLM Botanist","","2004 - 2006","2004","Coos","New River ACEC","42.9745","-124.4623","","","","Atriplex patula L. "
"observation","291031","Amaranthaceae","Bassia scoparia","mock cypress, burning bush","Wilson, B.","","2002","2002","Gilliam","I-84, mile 138 to 139","45.7276","-120.1957","","","","Bassia scoparia (L.) A.J. Scott "
"observation","291270","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B.","","2002","2002","Gilliam","I-84, mile 120 to 121","45.7166","-120.5441","","","","Salsola tragus L. "
"observation","291753","Amaranthaceae","Bassia scoparia","mock cypress, burning bush","Wilson, B.","","2002","2002","Wasco","I-84, mile 88 to 89","45.6169","-121.1164","","","","Bassia scoparia (L.) A.J. Scott "
"observation","290978","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B.","","2002","2002","Gilliam","I-84, mile 142 to 143","45.7620","-120.1318","","","","Salsola tragus L. "
"observation","291631","Amaranthaceae","Salsola tragus","prickly Russian thistle, tumbleweed","Wilson, B.","","2002","2002","Wasco","I-84, mile 96 to 97","45.6464","-120.9702","","","","Salsola tragus L. "
"image","dig38506","Amaranthaceae","Corispermum americanum var. americanum","American bugseed, common bugseed","Gerald D. Carr","","September 3, 2014","2014","Multnomah","Sandy beach on NE shore of Hayden Island, off N Hayden Island Drive, ca. 0.3 air mi. NW of RR crossing, Portland; 5m; 45.62497&#176; N -122.69776&#176; W","45.6250","-122.6978","5","","","Corispermum americanum (Nutt.) Nutt. var. americanum "
